batch,epoch,train accuracy,test_accuracy
4,7871.0,0.9719394,0.91396964
8,14290.0,0.9568235,0.9240346
16,7405.0,0.93884003,0.9146317
32,10624.0,0.93480825,0.9132962
64,10735.0,0.9359859,0.9119381
