epoch,train accuracy,test accuracy,time per epoch
0,0.7748643,0.7748492,0.07101287841796874
1,0.77553654,0.7755203,0.01296539306640625
2,0.77553654,0.7755203,0.014861440658569336
3,0.77553654,0.7755203,0.013164901733398437
4,0.77553654,0.7755203,0.015558576583862305
5,0.77553654,0.7755203,0.01495985984802246
6,0.77553654,0.7755203,0.014364671707153321
7,0.77553654,0.7755203,0.014560651779174805
8,0.77553654,0.7755203,0.01346573829650879
9,0.77553654,0.7755203,0.014162015914916993
10,0.77553654,0.7755203,0.014861488342285156
11,0.77553654,0.7755203,0.014760732650756836
12,0.77553654,0.7755203,0.01954760551452637
13,0.77553654,0.7755203,0.012765836715698243
14,0.77553654,0.7755203,0.013864612579345703
15,0.77553654,0.7755203,0.01495985984802246
16,0.77553654,0.7755203,0.014959764480590821
17,0.77553654,0.7755203,0.018550395965576172
18,0.77553654,0.7755203,0.01486201286315918
19,0.77553654,0.7755203,0.012965011596679687
20,0.77553654,0.7755203,0.01326580047607422
21,0.77604073,0.7755203,0.01595726013183594
22,0.77604073,0.7755203,0.014364194869995118
23,0.77604073,0.7755203,0.014960145950317383
24,0.77604073,0.7761915,0.013563585281372071
25,0.77604073,0.7761915,0.01635632514953613
26,0.77604073,0.7761915,0.01635632514953613
27,0.77604073,0.7761915,0.022441530227661134
28,0.77604073,0.7761915,0.013364458084106445
29,0.77604073,0.7761915,0.012566089630126953
30,0.77604073,0.7761915,0.013465356826782227
31,0.77604073,0.7761915,0.013763236999511718
32,0.7763766,0.7761915,0.016257858276367186
33,0.7763766,0.7761915,0.014063787460327149
34,0.7772167,0.7761915,0.014960002899169923
35,0.77788854,0.77551806,0.013066577911376952
36,0.77805656,0.7761915,0.013962602615356446
37,0.7787283,0.7768649,0.02014613151550293
38,0.78040826,0.7768649,0.016258049011230468
39,0.781248,0.7768649,0.01436147689819336
40,0.78192,0.7768649,0.013962745666503906
41,0.7825917,0.7768649,0.013164615631103516
42,0.78326356,0.7768649,0.01246795654296875
43,0.78427154,0.7775383,0.023638343811035155
44,0.7844397,0.7775383,0.01495985984802246
45,0.7854476,0.7788828,0.013364267349243165
46,0.7852794,0.777536,0.013266038894653321
47,0.78527945,0.7788783,0.013364458084106445
48,0.7857834,0.7795494,0.015858983993530272
49,0.7861196,0.78022057,0.02273902893066406
50,0.7869592,0.7822362,0.015659904479980467
51,0.78779924,0.7822362,0.015558290481567382
52,0.7896473,0.78694326,0.012566375732421874
53,0.7913281,0.786941,0.01735343933105469
54,0.79435205,0.79164803,0.018351078033447266
55,0.7936802,0.79365915,0.019550466537475587
56,0.7977127,0.7970217,0.012566280364990235
57,0.79939306,0.79702395,0.014263439178466796
58,0.80006474,0.79904413,0.014361858367919922
59,0.80140895,0.7997153,0.01725468635559082
60,0.80409706,0.8030733,0.01815171241760254
