batch,epoch,train accuracy,test_accuracy
0,6563.0,0.9778231,0.9240414
3,11080.0,0.9825276,0.92403233
6,12205.0,0.98403823,0.9260615
9,3183.0,0.9742943,0.9240345
12,6423.0,0.983201,0.92134094
