epoch,train_acc,train_cost,test_acc
0,0.1353,2.2933712,0.126
1,0.1398,2.2863293,0.1335
2,0.1442,2.2802632,0.1425
3,0.1573,2.274061,0.1595
4,0.1694,2.2675114,0.1665
5,0.1708,2.260505,0.168
6,0.1878,2.2528644,0.187
7,0.2176,2.2446914,0.221
8,0.2166,2.2353241,0.216
9,0.2259,2.225072,0.2215
10,0.2341,2.2135904,0.2295
11,0.2557,2.2008274,0.259
12,0.264,2.1866536,0.257
13,0.2601,2.1713448,0.25
14,0.2692,2.1542106,0.2615
15,0.2691,2.1365497,0.2655
16,0.2725,2.1184902,0.2675
17,0.2634,2.1003034,0.267
18,0.2761,2.0817363,0.2755
19,0.2848,2.0654783,0.275
20,0.2788,2.0492845,0.28
21,0.2735,2.0381536,0.2705
22,0.2798,2.0228832,0.283
23,0.2932,2.012712,0.288
24,0.2897,2.0026996,0.2845
25,0.2865,1.9921098,0.2835
26,0.3033,1.9834588,0.2975
27,0.2994,1.9790171,0.299
28,0.3013,1.9732192,0.2955
29,0.3009,1.9601758,0.302
30,0.3003,1.9569031,0.3015
31,0.3067,1.9476498,0.2975
32,0.3028,1.9458977,0.2985
33,0.3055,1.9454685,0.3
34,0.3187,1.9282649,0.31
35,0.3142,1.9239942,0.3155
36,0.3234,1.9158382,0.306
37,0.3255,1.908793,0.321
38,0.3239,1.9067506,0.32
39,0.3301,1.9001187,0.313
40,0.329,1.8930343,0.3265
41,0.3333,1.8900256,0.313
42,0.3351,1.8839282,0.3225
43,0.3389,1.8829266,0.313
44,0.3444,1.8686205,0.3305
45,0.3445,1.8662312,0.327
46,0.3423,1.862566,0.332
47,0.3459,1.8568587,0.328
48,0.3508,1.8497868,0.334
49,0.3355,1.8668497,0.328
50,0.3466,1.8458855,0.33
51,0.3576,1.8382375,0.337
52,0.3542,1.83415,0.336
53,0.3649,1.8247682,0.3365
54,0.3622,1.8211297,0.352
55,0.3641,1.8149303,0.347
56,0.3656,1.8103086,0.349
57,0.3616,1.8093308,0.349
58,0.356,1.8344129,0.337
59,0.3696,1.8012352,0.35
60,0.3784,1.7926971,0.3505
61,0.3676,1.7947958,0.3525
62,0.3751,1.786138,0.355
63,0.3803,1.7847774,0.352
64,0.3696,1.7851063,0.3515
65,0.3636,1.8033946,0.353
66,0.3796,1.7713953,0.3625
67,0.3845,1.7670491,0.361
68,0.3786,1.7798951,0.365
69,0.3874,1.7596172,0.366
70,0.3835,1.7581742,0.359
71,0.3833,1.7583351,0.37
72,0.3888,1.7468467,0.3705
73,0.3747,1.7537144,0.3675
74,0.3919,1.7375519,0.364
75,0.3902,1.7371273,0.3655
76,0.375,1.7533555,0.3685
77,0.3928,1.7320375,0.373
78,0.3867,1.739956,0.367
79,0.3966,1.7326782,0.377
80,0.3976,1.7155758,0.38
81,0.3958,1.7185234,0.379
82,0.3971,1.7206746,0.384
83,0.3999,1.7228438,0.3705
84,0.394,1.7326645,0.3735
85,0.4032,1.699253,0.381
86,0.3907,1.7139724,0.3835
87,0.3883,1.7128723,0.3815
88,0.4038,1.6897386,0.39
89,0.3869,1.7379705,0.369
90,0.4063,1.6845633,0.3875
91,0.4096,1.6798096,0.385
92,0.4045,1.7030638,0.3955
93,0.4053,1.6885332,0.4015
94,0.4149,1.6681813,0.39
95,0.3824,1.7148496,0.3635
96,0.4045,1.6736033,0.392
97,0.4137,1.6764102,0.3975
98,0.4139,1.6556293,0.3975
99,0.4163,1.6602749,0.405
100,0.4044,1.6611199,0.3925
101,0.4103,1.6793516,0.398
102,0.4181,1.6546121,0.4075
103,0.4218,1.653561,0.409
104,0.4191,1.6407119,0.408
105,0.4235,1.632006,0.403
106,0.4278,1.6294378,0.409
107,0.4242,1.6376206,0.4025
108,0.4217,1.623651,0.4145
109,0.4281,1.6250422,0.415
110,0.4198,1.6601957,0.415
111,0.4265,1.6241868,0.4185
112,0.4193,1.6238892,0.3965
113,0.4258,1.6084851,0.4165
114,0.427,1.631083,0.4045
115,0.4242,1.6139715,0.4175
116,0.4386,1.5988103,0.428
117,0.4353,1.592678,0.418
118,0.436,1.5871613,0.427
119,0.4315,1.6232015,0.415
120,0.432,1.591733,0.4225
121,0.4241,1.605031,0.4075
122,0.4384,1.5834097,0.4335
123,0.4383,1.5761733,0.4295
124,0.4403,1.5753641,0.435
125,0.4459,1.5661683,0.438
126,0.426,1.6158185,0.4115
127,0.4457,1.5669184,0.4285
128,0.4431,1.5771465,0.424
129,0.433,1.5680093,0.4175
130,0.4455,1.5603342,0.4405
131,0.4469,1.5608017,0.43
132,0.4405,1.5652204,0.435
133,0.452,1.5510477,0.435
134,0.443,1.5559981,0.4355
135,0.4556,1.541676,0.4475
136,0.4406,1.5515577,0.4275
137,0.4539,1.5380762,0.4425
138,0.4601,1.530006,0.453
139,0.439,1.5592852,0.426
140,0.4517,1.5368946,0.4355
141,0.4416,1.5665258,0.4345
142,0.4617,1.5227542,0.447
143,0.4581,1.534277,0.448
144,0.4519,1.5457996,0.443
145,0.4538,1.525074,0.439
146,0.4609,1.5179666,0.4525
147,0.4335,1.5534657,0.427
148,0.4618,1.5108482,0.4505
149,0.4488,1.5584044,0.435
150,0.4641,1.5336318,0.4495
151,0.4549,1.545527,0.4385
152,0.4679,1.5057505,0.453
153,0.4711,1.4947562,0.459
154,0.4436,1.5417722,0.4265
155,0.4587,1.5139586,0.4545
156,0.4626,1.513057,0.439
157,0.4685,1.4956077,0.456
158,0.456,1.5105329,0.447
159,0.4436,1.6185733,0.4375
160,0.4635,1.5046134,0.452
161,0.4475,1.5215373,0.442
162,0.4733,1.4805057,0.469
163,0.4696,1.4950429,0.4555
164,0.4472,1.5227137,0.433
165,0.451,1.5317172,0.4295
166,0.4097,1.6282828,0.411
167,0.4719,1.4760518,0.465
168,0.4712,1.4921781,0.4475
169,0.4512,1.5156354,0.4465
170,0.482,1.4630383,0.4735
171,0.4333,1.567779,0.433
172,0.4576,1.497502,0.4325
173,0.4586,1.5297283,0.4355
174,0.4823,1.4531679,0.477
175,0.4687,1.4910209,0.4625
176,0.4533,1.5167732,0.4515
177,0.4851,1.4531608,0.4695
178,0.4768,1.4745351,0.454
179,0.463,1.511516,0.446
180,0.4692,1.4870292,0.457
181,0.4709,1.4801292,0.4665
182,0.4715,1.5085745,0.45
183,0.4841,1.4534947,0.469
184,0.4808,1.4652078,0.459
185,0.4699,1.4842589,0.446
186,0.4642,1.5272835,0.4465
187,0.4527,1.5123074,0.431
188,0.487,1.4339832,0.4845
189,0.4836,1.4464383,0.485
190,0.4769,1.5031049,0.472
191,0.4743,1.4705788,0.4575
192,0.4806,1.4602842,0.4645
193,0.5005,1.4217203,0.48
194,0.4961,1.4341877,0.481
195,0.4543,1.5022689,0.431
196,0.4863,1.432865,0.472
197,0.4925,1.4271367,0.4815
198,0.481,1.4483117,0.4715
199,0.4781,1.4581633,0.4655
200,0.5021,1.4082915,0.4935
201,0.4921,1.4315177,0.481
202,0.5058,1.4066449,0.495
203,0.3929,1.8967004,0.3835
204,0.5074,1.4175609,0.4865
205,0.4753,1.4711939,0.4575
206,0.4535,1.5319479,0.441
207,0.4622,1.4674625,0.4585
208,0.4502,1.5380323,0.426
209,0.4159,1.6916307,0.395
210,0.4378,1.5816121,0.421
211,0.4593,1.5059023,0.4425
212,0.5078,1.4004247,0.4855
213,0.5101,1.3917814,0.494
214,0.5122,1.3885312,0.495
215,0.4996,1.424183,0.485
216,0.503,1.4064771,0.491
217,0.5052,1.3877175,0.493
218,0.4865,1.4418039,0.466
219,0.434,1.5354779,0.423
220,0.4941,1.407114,0.471
221,0.491,1.4335161,0.4755
222,0.4963,1.4353746,0.468
223,0.4495,1.6002163,0.4365
224,0.4864,1.4341358,0.4745
225,0.4413,1.5640025,0.4115
226,0.5119,1.3883723,0.484
227,0.485,1.4338094,0.474
228,0.5077,1.3910846,0.488
229,0.5151,1.3821441,0.4815
230,0.485,1.4149426,0.4785
231,0.5181,1.3657591,0.4975
232,0.5073,1.386916,0.486
233,0.5041,1.4024951,0.4785
234,0.4998,1.3942074,0.484
235,0.5054,1.3995486,0.492
236,0.5187,1.3602697,0.4895
237,0.5148,1.3701298,0.49
238,0.4942,1.4126211,0.4735
239,0.5001,1.4096434,0.4925
240,0.5018,1.4098545,0.481
241,0.5021,1.3879256,0.4845
242,0.4895,1.4146687,0.46
