epoch,train_acc,train_cost,test_acc
0,0.0951,2.3052747,0.0945
1,0.114,2.299252,0.1155
2,0.1267,2.2945452,0.1285
3,0.1388,2.2902448,0.1355
4,0.1472,2.2859917,0.1375
5,0.1567,2.2817135,0.1435
6,0.1674,2.277354,0.156
7,0.1813,2.27274,0.1675
8,0.1898,2.2677813,0.181
9,0.2011,2.262395,0.192
10,0.2018,2.2565567,0.195
11,0.2151,2.2499382,0.206
12,0.2235,2.2427433,0.2095
13,0.2333,2.2346637,0.22
14,0.2423,2.2258847,0.2265
15,0.2425,2.2158465,0.2285
16,0.2463,2.2046645,0.237
17,0.2505,2.192359,0.239
18,0.2415,2.1794145,0.2315
19,0.2532,2.1648254,0.241
20,0.254,2.1500425,0.239
21,0.2613,2.134166,0.253
22,0.2555,2.119569,0.244
23,0.2705,2.1019895,0.262
24,0.2645,2.0866888,0.2515
25,0.2782,2.0723715,0.264
26,0.2697,2.0574176,0.258
27,0.2778,2.0440443,0.264
28,0.2816,2.0333407,0.271
29,0.2829,2.0218651,0.272
30,0.2928,2.011219,0.2805
31,0.2885,2.0054128,0.276
32,0.2926,1.9960978,0.275
33,0.2975,1.9871668,0.284
34,0.2984,1.9820881,0.2855
35,0.2983,1.9744406,0.283
36,0.3025,1.9693496,0.285
37,0.2964,1.9684095,0.282
38,0.306,1.9563897,0.287
39,0.3107,1.9509611,0.293
40,0.3054,1.9492674,0.2885
41,0.3078,1.9413989,0.296
42,0.3068,1.9387578,0.2885
43,0.3074,1.9340609,0.281
44,0.3069,1.9298723,0.2945
45,0.3125,1.9243329,0.309
46,0.3175,1.9193329,0.2995
47,0.3153,1.9161359,0.303
48,0.319,1.9092269,0.3025
49,0.3104,1.9180945,0.2915
50,0.3215,1.9007096,0.302
51,0.3223,1.9008551,0.3015
52,0.3281,1.8941541,0.3065
53,0.3282,1.8899744,0.3095
54,0.3257,1.8887992,0.307
55,0.3325,1.8865285,0.3145
56,0.3323,1.8776289,0.3245
57,0.3313,1.8773582,0.3205
58,0.3307,1.8718758,0.3125
59,0.3308,1.8691101,0.314
60,0.3351,1.8598582,0.3125
61,0.3416,1.8550844,0.329
62,0.3369,1.8666016,0.3235
