epoch,train_acc,train_cost,test_acc
184,0.4196,1.7223215,0.397
185,0.4471,1.5604582,0.4165
186,0.4705,1.4905498,0.4415
187,0.4775,1.4658992,0.457
188,0.4915,1.44563,0.4605
189,0.4798,1.4531509,0.4575
190,0.4824,1.4485441,0.4565
191,0.4716,1.4680061,0.4545
192,0.3982,1.8018527,0.376
193,0.4958,1.4352593,0.4765
194,0.4846,1.4529223,0.4495
195,0.4695,1.462214,0.4525
196,0.4436,1.5878953,0.4185
197,0.4759,1.4903225,0.4535
198,0.4395,1.6118356,0.4175
199,0.4915,1.4270972,0.476
200,0.5038,1.4172654,0.4755
201,0.4671,1.4847254,0.436
202,0.4801,1.4475027,0.464
203,0.4807,1.482729,0.4675
204,0.4779,1.4700184,0.4495
205,0.465,1.5084004,0.4425
206,0.4731,1.4613539,0.424
207,0.4934,1.4252614,0.4645
208,0.4616,1.479717,0.4135
209,0.5037,1.4074973,0.4875
210,0.4862,1.4496236,0.4675
211,0.4893,1.4416281,0.469
212,0.4837,1.4797311,0.4565
213,0.5056,1.3984543,0.4805
214,0.4976,1.407714,0.488
215,0.4551,1.5625343,0.409
216,0.4778,1.4504446,0.4565
217,0.4998,1.4398426,0.4715
218,0.4775,1.4582585,0.4485
219,0.4923,1.4063064,0.4745
220,0.5059,1.3997122,0.473
221,0.4528,1.4915508,0.4205
222,0.5068,1.4025239,0.4795
223,0.4991,1.4150438,0.4825
224,0.4985,1.4055902,0.473
225,0.4848,1.4318312,0.4565
226,0.5025,1.4077809,0.4735
227,0.5093,1.3913162,0.482
228,0.4997,1.4314824,0.479
229,0.5133,1.3888613,0.486
230,0.4275,1.6633518,0.414
231,0.4998,1.3919057,0.4805
232,0.5165,1.3816224,0.4785
233,0.4804,1.4438442,0.4505
234,0.5068,1.3956602,0.4795
235,0.4932,1.4399954,0.4475
236,0.4887,1.4387069,0.4495
237,0.5183,1.3680487,0.4815
238,0.5143,1.3708527,0.4885
239,0.4743,1.4599541,0.445
240,0.5014,1.403604,0.473
241,0.474,1.4921867,0.439
242,0.4893,1.443318,0.461
243,0.5119,1.3814,0.485
244,0.4275,1.6228166,0.411
245,0.5041,1.4008119,0.482
246,0.5133,1.3835372,0.474
247,0.5255,1.3606354,0.495
248,0.4883,1.4185339,0.452
249,0.4336,1.6797887,0.41
250,0.5052,1.4141665,0.4755
251,0.4931,1.4341426,0.4595
252,0.4692,1.5092796,0.444
253,0.515,1.3631654,0.4915
254,0.5293,1.346862,0.495
255,0.4932,1.3990418,0.4665
256,0.5114,1.3687053,0.483
257,0.5144,1.3790399,0.484
258,0.5161,1.3615506,0.48
259,0.4969,1.4140714,0.4635
260,0.5139,1.378596,0.469
261,0.5167,1.3663752,0.494
262,0.4972,1.4468122,0.471
263,0.4894,1.4043856,0.468
264,0.4778,1.4724178,0.449
265,0.5131,1.4018568,0.481
266,0.5248,1.3356012,0.5005
267,0.5137,1.3931205,0.4855
268,0.5057,1.4042372,0.461
269,0.53,1.3243827,0.51
270,0.5043,1.3743006,0.4805
271,0.5302,1.3336157,0.496
272,0.5125,1.3949542,0.4845
273,0.5309,1.3300442,0.4985
274,0.5242,1.3406584,0.496
275,0.5274,1.3442287,0.481
276,0.5194,1.3410301,0.493
277,0.524,1.3411919,0.489
278,0.5389,1.3118578,0.502
279,0.4935,1.4021088,0.462
280,0.4784,1.4893197,0.4395
281,0.5348,1.3174545,0.495
282,0.5034,1.3870586,0.46
283,0.5241,1.3410472,0.4995
284,0.5034,1.420714,0.4635
285,0.5216,1.3495435,0.4955
286,0.5395,1.3166162,0.49
287,0.529,1.3512189,0.4895
288,0.532,1.3169246,0.506
289,0.5254,1.3296555,0.498
290,0.5381,1.3006413,0.506
