epoch,train_acc,train_cost,test_acc
0,0.1121,2.295658,0.108
1,0.1347,2.2871628,0.126
2,0.1615,2.2790937,0.1525
3,0.1927,2.2708352,0.185
4,0.2048,2.2616472,0.1995
5,0.1989,2.2519505,0.1965
6,0.2325,2.2412684,0.2275
7,0.2231,2.229759,0.215
8,0.2268,2.2176156,0.2235
9,0.2487,2.2038777,0.2445
10,0.2522,2.18922,0.2535
11,0.255,2.1728866,0.2555
12,0.2477,2.1557808,0.2495
13,0.2616,2.1367626,0.255
14,0.2624,2.1182208,0.272
15,0.269,2.0997136,0.259
16,0.2797,2.0819707,0.271
17,0.271,2.0651948,0.2655
18,0.273,2.0522053,0.2625
19,0.2808,2.0359738,0.277
20,0.2866,2.0241284,0.279
21,0.2734,2.019487,0.2765
22,0.2937,2.0020778,0.288
23,0.2922,1.994974,0.293
24,0.2999,1.9860011,0.292
25,0.2919,1.9904476,0.29
26,0.3008,1.9715029,0.2915
27,0.3038,1.963459,0.294
28,0.3048,1.9566287,0.298
29,0.3083,1.9509783,0.2945
30,0.314,1.9464629,0.3045
31,0.314,1.939925,0.302
32,0.3155,1.9322367,0.3135
33,0.3197,1.9286091,0.3045
34,0.3226,1.9192541,0.309
35,0.3228,1.9173682,0.312
36,0.3195,1.922434,0.307
37,0.329,1.9026703,0.3155
38,0.3321,1.89651,0.313
39,0.331,1.8931814,0.314
40,0.3354,1.886638,0.312
41,0.3338,1.8844836,0.313
42,0.3399,1.875536,0.314
43,0.3394,1.8728278,0.315
44,0.3382,1.8667594,0.33
45,0.3431,1.8607033,0.319
46,0.3451,1.8545797,0.325
47,0.3466,1.8497707,0.3205
48,0.344,1.8461118,0.3275
49,0.3451,1.8423961,0.315
50,0.3404,1.8546883,0.327
51,0.3491,1.8341976,0.3275
52,0.3515,1.8276844,0.334
53,0.3563,1.8220142,0.332
54,0.3502,1.828184,0.33
55,0.3514,1.8341199,0.3435
56,0.366,1.8114687,0.343
57,0.3645,1.8040789,0.3415
58,0.3533,1.8184457,0.3405
59,0.3511,1.8241704,0.333
60,0.3583,1.8120035,0.341
61,0.361,1.793614,0.346
62,0.3694,1.7850828,0.343
63,0.3684,1.7883254,0.353
64,0.3709,1.777532,0.352
65,0.3703,1.7737465,0.352
66,0.3755,1.7691076,0.356
67,0.3751,1.7720069,0.3525
68,0.3633,1.7902461,0.3425
69,0.3723,1.7638174,0.349
70,0.3773,1.7647384,0.357
71,0.3773,1.7592508,0.3515
72,0.381,1.7519604,0.3565
73,0.3726,1.7604265,0.354
74,0.3761,1.7582035,0.355
75,0.3726,1.7863455,0.351
76,0.3877,1.7345772,0.362
77,0.3872,1.7318752,0.368
78,0.3877,1.7297773,0.367
79,0.389,1.7248623,0.369
80,0.3929,1.7227337,0.372
81,0.3897,1.7211758,0.365
82,0.3913,1.7164664,0.3655
83,0.3988,1.7091734,0.3795
84,0.3828,1.7277517,0.35
85,0.3714,1.7548699,0.338
86,0.3942,1.7334437,0.372
87,0.391,1.7109219,0.37
88,0.3906,1.7047062,0.3805
89,0.3977,1.705328,0.3815
90,0.3974,1.7178777,0.3845
91,0.3968,1.6864328,0.381
92,0.3995,1.6932713,0.378
93,0.4006,1.6865611,0.3805
94,0.4004,1.6811527,0.376
95,0.3959,1.7206728,0.383
96,0.4003,1.6857262,0.375
97,0.4015,1.673931,0.3855
98,0.4063,1.6712941,0.3765
99,0.4094,1.6664412,0.391
100,0.4085,1.6832609,0.3905
101,0.4136,1.6610208,0.3955
102,0.4082,1.6708188,0.389
103,0.4146,1.6559527,0.3865
104,0.4067,1.6630269,0.38
105,0.4189,1.6371896,0.3995
106,0.4074,1.6823144,0.3835
107,0.4166,1.6415106,0.3955
108,0.4227,1.6351215,0.3975
109,0.4152,1.6336083,0.3995
110,0.4013,1.6683906,0.38
111,0.4196,1.6340842,0.3915
112,0.4247,1.6193156,0.41
113,0.4262,1.6246011,0.412
114,0.4266,1.6155205,0.411
115,0.4301,1.605258,0.406
116,0.4276,1.6140103,0.405
117,0.42,1.6321914,0.3915
118,0.402,1.6688281,0.3695
119,0.4211,1.6411328,0.394
120,0.4307,1.6073864,0.4065
121,0.432,1.5965539,0.417
122,0.4288,1.6055701,0.4015
123,0.4292,1.6036755,0.412
124,0.443,1.579313,0.4215
125,0.4167,1.6102494,0.4085
126,0.4389,1.5806049,0.4255
127,0.4368,1.5936162,0.414
128,0.4394,1.5850894,0.422
129,0.4247,1.6068596,0.409
130,0.4443,1.570226,0.4285
131,0.4422,1.5782768,0.432
132,0.4374,1.6003278,0.412
133,0.4339,1.5761465,0.419
134,0.4494,1.5584241,0.428
135,0.4407,1.5642147,0.4245
136,0.4494,1.546424,0.431
137,0.4417,1.563163,0.416
138,0.448,1.5555971,0.43
139,0.4346,1.5694695,0.4005
140,0.4469,1.5462407,0.415
141,0.4552,1.5375699,0.4365
142,0.4518,1.5427115,0.423
143,0.4211,1.5845059,0.403
144,0.4406,1.5828545,0.425
145,0.4633,1.5237027,0.446
146,0.4501,1.5337006,0.4345
147,0.4393,1.5833715,0.4095
148,0.4203,1.6572663,0.4105
149,0.4482,1.5390304,0.4335
150,0.4438,1.5557073,0.4245
151,0.4369,1.5464313,0.4185
152,0.4619,1.5231131,0.437
153,0.4595,1.5279694,0.443
154,0.472,1.5132285,0.4425
155,0.4615,1.5146525,0.44
156,0.4152,1.6471113,0.392
157,0.428,1.5736606,0.413
158,0.4483,1.5544522,0.4215
159,0.4474,1.5505145,0.4355
160,0.4673,1.5186678,0.442
161,0.4599,1.5043166,0.438
162,0.4719,1.5000446,0.4525
163,0.4103,1.6525426,0.3965
164,0.4719,1.4973876,0.4565
165,0.4611,1.5134224,0.4345
166,0.4582,1.5247054,0.438
167,0.4705,1.4962252,0.4585
168,0.4536,1.5278096,0.4465
169,0.4697,1.4840671,0.453
170,0.4752,1.481219,0.451
171,0.4837,1.4775339,0.467
