epoch,train_acc,train_cost,test_acc
0,0.1085,2.3041832,0.1075
1,0.1314,2.292414,0.1325
2,0.1336,2.2831519,0.126
3,0.1519,2.2743332,0.139
4,0.1737,2.2651196,0.1665
5,0.1876,2.2549505,0.1835
6,0.2124,2.244152,0.1975
7,0.2059,2.2319221,0.199
8,0.2195,2.218782,0.21
9,0.2237,2.204157,0.211
10,0.2232,2.1879232,0.209
11,0.2396,2.170616,0.2215
12,0.2389,2.1523314,0.2215
13,0.2442,2.133407,0.2325
14,0.2549,2.1143167,0.244
15,0.2612,2.0956388,0.2475
16,0.2585,2.0789297,0.249
17,0.2635,2.0634105,0.2545
18,0.2691,2.0492759,0.2535
19,0.2661,2.036993,0.249
20,0.2669,2.0268822,0.271
21,0.2779,2.0171735,0.2685
22,0.2722,2.0137467,0.27
23,0.2845,1.9985223,0.277
24,0.2869,1.9901656,0.27
25,0.2925,1.9840242,0.2875
26,0.2909,1.9773883,0.2835
27,0.2952,1.9699594,0.294
28,0.29,1.9686588,0.29
29,0.3006,1.9593674,0.292
30,0.2993,1.9546568,0.289
31,0.2995,1.9498068,0.2985
32,0.3049,1.9439133,0.2895
33,0.3056,1.9325455,0.3005
34,0.3036,1.9313291,0.2985
35,0.3113,1.9223387,0.305
36,0.3154,1.9162438,0.3085
37,0.3161,1.9147022,0.311
38,0.3177,1.9117719,0.3125
39,0.3167,1.9052486,0.3055
40,0.3196,1.8997811,0.3135
41,0.3234,1.8897632,0.314
42,0.3203,1.8920754,0.308
43,0.3237,1.8849587,0.313
44,0.3277,1.8778367,0.3165
45,0.3338,1.8731188,0.3195
46,0.3366,1.8668317,0.325
47,0.3328,1.8609742,0.328
48,0.3342,1.8574136,0.333
49,0.335,1.8527566,0.3285
50,0.3331,1.8500168,0.3215
51,0.3336,1.8560492,0.323
52,0.3466,1.8406191,0.3405
53,0.3307,1.8830445,0.3175
54,0.3394,1.8342787,0.3295
55,0.3531,1.8261826,0.34
56,0.3369,1.8430094,0.3315
57,0.349,1.8191906,0.3375
58,0.3567,1.8126554,0.3335
59,0.3603,1.807073,0.3425
60,0.3563,1.8066266,0.3465
61,0.3429,1.8342924,0.3295
62,0.3654,1.7954018,0.351
63,0.3596,1.8048102,0.34
64,0.3634,1.7905375,0.3555
65,0.3619,1.7889326,0.343
66,0.3634,1.7831566,0.3465
67,0.3736,1.7772082,0.354
68,0.3716,1.7752856,0.362
69,0.3727,1.7711029,0.3525
70,0.3634,1.7828754,0.35
71,0.3695,1.7716187,0.346
72,0.3776,1.7675282,0.355
73,0.3648,1.783582,0.3565
74,0.3755,1.7602942,0.3565
75,0.3742,1.7557343,0.3565
76,0.3833,1.7480234,0.371
77,0.3846,1.7487875,0.373
78,0.3786,1.7484301,0.358
79,0.3821,1.7425555,0.361
80,0.3922,1.732575,0.371
81,0.3907,1.7308367,0.37
82,0.3799,1.7374262,0.3575
83,0.3755,1.7387304,0.3585
84,0.3929,1.7174094,0.375
85,0.3909,1.73271,0.361
86,0.3946,1.7245184,0.3835
87,0.3925,1.713159,0.366
88,0.4011,1.711602,0.3805
89,0.3931,1.7100182,0.377
90,0.4015,1.7029781,0.3775
91,0.3871,1.7148829,0.357
92,0.3872,1.713184,0.3775
93,0.4035,1.692023,0.3805
94,0.3885,1.7335691,0.3775
95,0.4033,1.6858834,0.3835
96,0.4021,1.684973,0.3825
97,0.3906,1.6964879,0.37
98,0.4034,1.683859,0.3905
99,0.4054,1.6638832,0.392
100,0.4066,1.6623791,0.393
101,0.4086,1.6702375,0.3885
102,0.4007,1.6764219,0.386
103,0.4013,1.6648748,0.3905
104,0.4183,1.6616918,0.403
105,0.4139,1.656134,0.4005
106,0.4209,1.6468463,0.3995
107,0.4012,1.6526488,0.3905
108,0.4223,1.6327032,0.406
109,0.4198,1.6431293,0.3965
110,0.4222,1.6345968,0.405
111,0.3739,1.7048677,0.3615
112,0.4151,1.6317341,0.394
113,0.4222,1.6194465,0.4035
114,0.424,1.6214939,0.3975
115,0.4243,1.6144527,0.4125
116,0.424,1.6199025,0.4085
117,0.4188,1.6372939,0.4075
118,0.4273,1.6086596,0.414
119,0.4055,1.6272521,0.3935
120,0.4281,1.6002406,0.417
121,0.4253,1.6095681,0.4125
122,0.395,1.6803781,0.3775
123,0.4313,1.6198255,0.4145
124,0.423,1.6137072,0.4025
125,0.4306,1.5854932,0.41
126,0.4194,1.629496,0.41
127,0.4276,1.5845312,0.414
128,0.4337,1.5916445,0.416
129,0.437,1.5746391,0.4175
130,0.4331,1.5831696,0.4115
131,0.4366,1.5920122,0.4205
132,0.4417,1.5698719,0.419
133,0.4355,1.5854117,0.419
134,0.4402,1.561638,0.4215
135,0.4441,1.5574639,0.428
136,0.4434,1.5654927,0.43
137,0.4449,1.5548706,0.4355
138,0.447,1.5549427,0.425
139,0.4103,1.6565104,0.389
140,0.4356,1.5652927,0.418
141,0.4481,1.5492432,0.4345
142,0.4563,1.5363494,0.442
143,0.4233,1.6127913,0.402
144,0.4462,1.5544348,0.427
145,0.418,1.6121435,0.4055
146,0.3737,1.6898336,0.364
147,0.458,1.5298527,0.4325
148,0.4549,1.5364485,0.4375
149,0.4427,1.5501477,0.4295
150,0.46,1.5277065,0.442
151,0.4329,1.589916,0.414
152,0.4483,1.5365249,0.4325
153,0.4568,1.5208424,0.4365
154,0.4534,1.5311712,0.4355
155,0.4419,1.5732782,0.427
156,0.4539,1.5180478,0.4325
157,0.4455,1.553868,0.434
158,0.4319,1.5538117,0.41
159,0.4533,1.5378209,0.4385
160,0.4385,1.5525571,0.415
161,0.4667,1.5005703,0.4425
162,0.4694,1.5012461,0.4575
163,0.4498,1.5126414,0.437
164,0.4586,1.5055804,0.442
165,0.4532,1.53554,0.4305
166,0.4624,1.5050962,0.439
167,0.4515,1.5346423,0.4395
168,0.4676,1.5090833,0.447
169,0.4756,1.4882605,0.4535
170,0.468,1.4949186,0.4535
