epoch,train_acc,train_cost,test_acc
0,0.0924,2.3085747,0.0805
1,0.1154,2.298056,0.1
2,0.1199,2.2905505,0.108
3,0.1231,2.283734,0.1145
4,0.1306,2.2769294,0.122
5,0.1397,2.2699184,0.125
6,0.1535,2.2624443,0.125
7,0.1578,2.2542713,0.1405
8,0.171,2.2452211,0.1575
9,0.1856,2.2351365,0.1775
10,0.2049,2.2243881,0.197
11,0.2076,2.2127929,0.1945
12,0.2334,2.1999223,0.2205
13,0.2367,2.1860347,0.2245
14,0.2513,2.1715636,0.237
15,0.2382,2.1561964,0.2235
16,0.2577,2.1387148,0.25
17,0.2613,2.121276,0.244
18,0.2744,2.1046565,0.265
19,0.2766,2.0883126,0.2625
20,0.2783,2.0723648,0.258
21,0.2842,2.058508,0.2725
22,0.2706,2.0474105,0.257
23,0.279,2.035456,0.257
24,0.2797,2.0238485,0.267
25,0.2858,2.01528,0.2805
26,0.2909,2.0075102,0.2885
27,0.2966,1.9981126,0.2845
28,0.2984,1.9931352,0.291
29,0.2985,1.984755,0.296
30,0.3023,1.9793321,0.2925
31,0.3061,1.9737536,0.2865
32,0.2984,1.9728996,0.297
33,0.3048,1.9648817,0.2955
34,0.2951,1.9643368,0.291
35,0.2826,1.9873233,0.276
36,0.3126,1.9475721,0.308
37,0.3164,1.9529916,0.306
38,0.3139,1.943342,0.3095
39,0.3165,1.9341961,0.3075
40,0.3194,1.9301252,0.3105
41,0.3196,1.9260334,0.3165
42,0.3184,1.9335063,0.3095
43,0.3242,1.9179192,0.316
44,0.3182,1.9379944,0.305
45,0.328,1.9108461,0.309
46,0.3381,1.9021922,0.325
47,0.3336,1.8986052,0.322
48,0.3172,1.9263687,0.3055
49,0.3341,1.8898709,0.3225
50,0.3386,1.8949164,0.318
51,0.3431,1.8802196,0.329
52,0.3414,1.8792543,0.324
53,0.3428,1.8752,0.335
54,0.3434,1.8739547,0.321
55,0.3473,1.8687136,0.3275
56,0.3447,1.868679,0.326
57,0.3495,1.8605324,0.334
58,0.3462,1.8543104,0.326
59,0.3541,1.8473843,0.3425
60,0.3501,1.8486187,0.3345
61,0.3573,1.8372502,0.336
62,0.3567,1.8403758,0.336
63,0.3584,1.8336965,0.338
64,0.3617,1.8279586,0.3455
65,0.3632,1.8209387,0.3485
66,0.3495,1.8216681,0.3375
67,0.3637,1.8165852,0.3395
68,0.3589,1.8235244,0.3375
69,0.3701,1.8009067,0.3505
70,0.3689,1.7991629,0.3525
71,0.3653,1.8002623,0.3505
72,0.3733,1.7943469,0.355
73,0.3674,1.7935631,0.3435
74,0.3644,1.7969168,0.345
75,0.3704,1.7943188,0.3575
76,0.3755,1.7857684,0.347
77,0.3727,1.7854398,0.3485
78,0.3757,1.7696347,0.355
79,0.3825,1.7655668,0.3665
80,0.3752,1.771295,0.346
81,0.3781,1.7597836,0.361
82,0.3745,1.7719513,0.3495
83,0.3835,1.7497789,0.373
84,0.375,1.7596195,0.3555
85,0.3866,1.7450162,0.365
86,0.3812,1.7486305,0.3535
87,0.3841,1.7472543,0.357
88,0.3888,1.7319117,0.368
89,0.3896,1.7316681,0.3625
90,0.385,1.7448418,0.367
91,0.394,1.7219902,0.371
92,0.3918,1.7353629,0.3755
93,0.3684,1.7698592,0.3445
94,0.3876,1.714044,0.3735
95,0.3974,1.7126144,0.3795
96,0.3624,1.753261,0.3485
97,0.3952,1.7121961,0.377
98,0.3989,1.7042356,0.377
99,0.3972,1.7100989,0.375
100,0.3989,1.6979115,0.3675
101,0.3841,1.7218012,0.356
102,0.4013,1.6878227,0.3745
103,0.4084,1.6920774,0.3915
104,0.4088,1.6780614,0.388
105,0.4085,1.6760267,0.3895
