epoch,train accuracy,test accuracy,time per epoch
0,0.77553654,0.7755203,0.11519894599914551
1,0.77553654,0.7755203,0.06263256072998047
2,0.77553654,0.7755203,0.04957137107849121
3,0.77553654,0.7755203,0.05784807205200195
4,0.77553654,0.7755203,0.05605001449584961
5,0.77553654,0.7755203,0.04947061538696289
6,0.77990484,0.78089845,0.062137937545776366
7,0.78057647,0.78022736,0.05804476737976074
8,0.7874646,0.7849253,0.055952024459838864
9,0.7933442,0.78828776,0.051066350936889646
10,0.79972833,0.7929926,0.05665168762207031
11,0.8057761,0.7983707,0.05116434097290039
12,0.8088012,0.7997152,0.060238981246948244
13,0.82089746,0.8071092,0.06443314552307129
14,0.8245948,0.819201,0.06373090744018554
15,0.8336703,0.82187873,0.057547569274902344
16,0.82997245,0.8299505,0.060542058944702146
17,0.8439169,0.83869344,0.053159141540527345
18,0.8432457,0.83666867,0.05465388298034668
19,0.84895724,0.8447337,0.054355955123901366
20,0.8561823,0.8528077,0.06742544174194336
21,0.8541663,0.85144967,0.06023902893066406
22,0.8578621,0.8521253,0.05934271812438965
23,0.86307156,0.8541387,0.05785093307495117
24,0.8612229,0.8608637,0.05106348991394043
25,0.86256665,0.8595169,0.05714864730834961
26,0.86307013,0.86489046,0.05346002578735352
27,0.8681124,0.8595146,0.054856300354003906
28,0.8682798,0.86623734,0.05166187286376953
29,0.86962396,0.8695997,0.05864596366882324
30,0.8701273,0.8642149,0.06293601989746093
31,0.8707992,0.86691076,0.05714845657348633
32,0.8721442,0.87026644,0.06303138732910156
33,0.8736559,0.871611,0.048973369598388675
34,0.8731515,0.86892414,0.053358840942382815
35,0.8733198,0.8682507,0.05475482940673828
36,0.8738246,0.8695952,0.05046501159667969
37,0.8750005,0.86690617,0.05196480751037598
38,0.8746643,0.8749757,0.05306134223937988
39,0.8780254,0.86959076,0.0586430549621582
40,0.8771842,0.8736267,0.06433210372924805
41,0.8786971,0.8695997,0.05206341743469238
42,0.8798734,0.87093306,0.05046515464782715
43,0.87802523,0.8736267,0.05814571380615234
44,0.8800415,0.8763112,0.05725259780883789
45,0.88104916,0.8716132,0.054853296279907225
46,0.8817209,0.8736267,0.06273350715637208
47,0.88188934,0.8776558,0.050667428970336915
48,0.88390464,0.87564456,0.055853414535522464
49,0.88541764,0.87967825,0.05315937995910645
50,0.8849136,0.879676,0.05565099716186524
51,0.8849138,0.8810204,0.051864337921142575
52,0.88760215,0.87967813,0.05585355758666992
53,0.8852493,0.87900484,0.05216169357299805
54,0.8887783,0.8823627,0.050468063354492186
55,0.8859213,0.88168716,0.053459692001342776
56,0.88524944,0.8810204,0.05674962997436524
57,0.88692915,0.8803471,0.059542083740234376
58,0.8879366,0.8803426,0.05625243186950683
59,0.8894495,0.88102275,0.05944380760192871
60,0.89062536,0.8790026,0.05485310554504395
61,0.8896173,0.87900704,0.05236144065856933
62,0.8904581,0.88302946,0.05785059928894043
63,0.89314556,0.88101596,0.06382951736450196
64,0.8884409,0.8769824,0.05644903182983398
65,0.8891131,0.87630904,0.052962541580200195
66,0.89314544,0.87967813,0.058047914505004884
67,0.8919689,0.88303167,0.059342479705810545
68,0.89264166,0.8816984,0.05455560684204101
69,0.89163303,0.87968045,0.06173925399780274
70,0.8929776,0.87833816,0.06123604774475098
71,0.8914647,0.8816984,0.051266050338745116
72,0.89230525,0.87766474,0.06552615165710449
73,0.8931457,0.8823673,0.0540581226348877
74,0.89331275,0.87967813,0.05286173820495606
75,0.8929766,0.8816962,0.05854463577270508
76,0.89180154,0.8803539,0.052661895751953125
77,0.8949938,0.8837164,0.062037086486816405
78,0.8904568,0.8783337,0.05036664009094238
79,0.89448893,0.8783337,0.050864219665527344
80,0.8938171,0.88438976,0.06163783073425293
81,0.89448833,0.8817007,0.0537604808807373
82,0.8960021,0.8850632,0.05046491622924805
83,0.8946573,0.88437843,0.05744891166687012
84,0.8951602,0.8850564,0.05635528564453125
85,0.89667404,0.8823741,0.05963892936706543
86,0.89600027,0.8850519,0.060042285919189455
87,0.8956646,0.8843875,0.054856157302856444
88,0.89616746,0.8843875,0.051563262939453125
89,0.8960007,0.8823695,0.0546539306640625
90,0.8966721,0.8857298,0.06493048667907715
91,0.89684105,0.88303393,0.049967718124389646
92,0.89751214,0.88370734,0.05674967765808105
