epoch,train accuracy,test accuracy,time per epoch
0,0.77553654,0.7755203,0.07251029014587403
1,0.77553654,0.7755203,0.02713003158569336
2,0.77553654,0.7755203,0.02952094078063965
3,0.77553654,0.7755203,0.031316280364990234
4,0.77553654,0.7755203,0.024135494232177736
5,0.77553654,0.7755203,0.036302709579467775
6,0.77553654,0.7755203,0.028029203414916992
7,0.77553654,0.7755203,0.024036931991577148
8,0.77553654,0.7755203,0.046177911758422854
9,0.77553654,0.7755203,0.026329565048217773
10,0.77553654,0.7755203,0.028523588180541994
11,0.77553654,0.7755203,0.03181638717651367
12,0.77553654,0.7755203,0.03171529769897461
13,0.77553654,0.7755203,0.029225873947143554
14,0.7758727,0.7755203,0.027029132843017577
15,0.77604073,0.7755203,0.027127552032470702
16,0.7767126,0.7755203,0.029919815063476563
17,0.77688056,0.7755203,0.03121805191040039
18,0.778056,0.77551806,0.02872328758239746
19,0.7782238,0.77551806,0.02682948112487793
20,0.78007126,0.777536,0.026231145858764647
21,0.78124714,0.7788805,0.028327131271362306
22,0.78309596,0.7795494,0.031116676330566407
23,0.78443944,0.77954495,0.026529264450073243
24,0.78679144,0.7808917,0.026430225372314452
25,0.78746367,0.7815628,0.03301329612731933
26,0.79149634,0.78693646,0.02932143211364746
27,0.7940167,0.7876099,0.026133060455322266
28,0.7956974,0.79029447,0.034909534454345706
29,0.7998974,0.79365695,0.027526378631591797
30,0.8000649,0.796346,0.02593092918395996
31,0.80460215,0.8017174,0.030318403244018556
32,0.812497,0.80576,0.02682967185974121
33,0.8116568,0.80844915,0.02712736129760742
34,0.81602514,0.81046486,0.029124927520751954
35,0.81770575,0.815843,0.026531696319580078
36,0.8210661,0.82054776,0.026329612731933592
37,0.82694626,0.82324135,0.030518341064453124
38,0.8279542,0.823239,0.03211398124694824
39,0.83030766,0.82793933,0.02593340873718262
40,0.8346745,0.83131087,0.03082141876220703
41,0.83652306,0.83130634,0.03959312438964844
42,0.84139556,0.83600885,0.023039960861206056
43,0.8413949,0.83735114,0.03450756072998047
44,0.84761226,0.84003574,0.026130104064941408
45,0.8464359,0.8460805,0.025632667541503906
46,0.8460989,0.8413803,0.03311448097229004
47,0.8508037,0.8454116,0.02672858238220215
48,0.8534924,0.8480962,0.02513284683227539
49,0.8545008,0.84876955,0.042090225219726565
50,0.85618085,0.8534676,0.02872319221496582
51,0.8576929,0.8534676,0.02513542175292969
52,0.86105335,0.8575012,0.037999868392944336
53,0.8602128,0.85279876,0.026728439331054687
54,0.8634055,0.85280097,0.025531816482543945
55,0.8634058,0.8608614,0.033310747146606444
56,0.8642459,0.85884124,0.028528165817260743
57,0.8649176,0.860188,0.026929092407226563
58,0.8640779,0.8595192,0.026928186416625977
59,0.86592656,0.85817015,0.026629877090454102
60,0.86710185,0.8628861,0.028922414779663085
61,0.86575776,0.8642216,0.031316518783569336
62,0.8667663,0.8615303,0.02573118209838867
63,0.8699589,0.86153936,0.034412050247192384
64,0.86676645,0.864886,0.029821491241455077
65,0.8682791,0.86489505,0.03271265029907226
66,0.8686144,0.869602,0.03131914138793945
67,0.8701269,0.8635618,0.027725744247436523
68,0.869119,0.8648928,0.037699222564697266
69,0.8696226,0.8682575,0.031616735458374026
70,0.8696229,0.8669152,0.025135517120361328
71,0.87063056,0.8669152,0.03091731071472168
72,0.8687822,0.8689264,0.03261423110961914
73,0.8704628,0.86691743,0.03181624412536621
74,0.86979043,0.8682598,0.02672853469848633
75,0.86979085,0.869602,0.031616926193237305
76,0.8713032,0.86825305,0.03560595512390137
77,0.87113506,0.86959755,0.025433778762817383
78,0.87113607,0.8682507,0.0310183048248291
79,0.8719753,0.86892873,0.0303189754486084
80,0.8724796,0.87027323,0.023936033248901367
81,0.87214315,0.8675863,0.0271298885345459
82,0.87163895,0.86959755,0.034707164764404295
83,0.87231123,0.8722911,0.0243377685546875
84,0.87113494,0.8695998,0.030220460891723634
85,0.8733198,0.8662306,0.03989334106445312
86,0.87499964,0.8709443,0.024335050582885744
87,0.87348783,0.8709466,0.03979778289794922
88,0.87483215,0.869593,0.025332307815551756
89,0.87382364,0.8716132,0.0249330997467041
90,0.87550414,0.86825305,0.03760132789611816
91,0.8761759,0.87497795,0.025432920455932616
92,0.87651175,0.8722935,0.02583446502685547
93,0.87735164,0.87363565,0.03849749565124512
94,0.8788643,0.87296677,0.027127838134765624
95,0.8785286,0.87296456,0.033908843994140625
96,0.8781912,0.8716177,0.03171539306640625
97,0.87920046,0.87363565,0.025632810592651368
98,0.8773519,0.8729623,0.027529239654541016
99,0.8773521,0.8729578,0.029023504257202147
100,0.87936723,0.87565136,0.027228832244873047
101,0.87936866,0.8736312,0.02872300148010254
102,0.879031,0.8736312,0.03929495811462402
103,0.8813836,0.8763157,0.02423863410949707
104,0.88104784,0.87430686,0.026128101348876952
105,0.8807119,0.8749735,0.029425525665283205
106,0.8813839,0.8736312,0.0253324031829834
107,0.87953645,0.87632024,0.030021190643310547
108,0.8818881,0.8763158,0.03351006507873535
109,0.8830644,0.8769892,0.02613034248352051
110,0.88508,0.88034934,0.03391208648681641
111,0.88172054,0.87900704,0.03031888008117676
112,0.88558453,0.87967366,0.025933170318603517
113,0.8830633,0.87564456,0.030819082260131837
114,0.8845766,0.8790048,0.03450765609741211
115,0.8864247,0.8810137,0.02732706069946289
116,0.88440907,0.88168937,0.0281280517578125
117,0.8854163,0.8803471,0.02952089309692383
118,0.88558483,0.88034934,0.039098262786865234
119,0.8859204,0.8783337,0.030318737030029297
120,0.88659203,0.8803471,0.026829957962036133
121,0.88558435,0.8816961,0.04119133949279785
122,0.8855845,0.88102275,0.02663002014160156
123,0.88642454,0.88169384,0.02872304916381836
124,0.88911325,0.88504964,0.03540887832641602
125,0.8876006,0.8830384,0.02563056945800781
126,0.88726425,0.88303614,0.03121771812438965
127,0.88726395,0.88169384,0.03281354904174805
128,0.88676023,0.8830406,0.0243349552154541
129,0.8884403,0.8810204,0.029424571990966798
130,0.8892811,0.8830384,0.03241267204284668
131,0.89045656,0.8850586,0.026329803466796874
132,0.88944787,0.8810204,0.035906505584716794
133,0.8901203,0.88370734,0.025234174728393555
134,0.8907925,0.88236725,0.027526187896728515
135,0.89196855,0.88505185,0.03530569076538086
136,0.8911284,0.8816961,0.025135517120361328
137,0.89129704,0.88505185,0.02623119354248047
138,0.8916327,0.88640547,0.029520845413208006
139,0.89247286,0.88169163,0.025532102584838866
140,0.89062464,0.88707656,0.025433063507080078
141,0.88995266,0.8843875,0.03909831047058106
142,0.89079285,0.88707656,0.024733972549438477
143,0.8919684,0.88841885,0.02652888298034668
144,0.8923048,0.8870721,0.04308767318725586
145,0.89011985,0.88370734,0.02373652458190918
146,0.8916321,0.88101596,0.034409379959106444
147,0.8931454,0.8870698,0.03420987129211426
148,0.8923046,0.886401,0.025733757019042968
149,0.8926404,0.8864009,0.04208731651306152
150,0.8918005,0.8884212,0.028324317932128907
151,0.8931447,0.88841665,0.028026580810546875
152,0.89213693,0.88573205,0.03660330772399902
153,0.89331245,0.8850586,0.026931095123291015
154,0.8921367,0.88707435,0.029223203659057617
155,0.8924726,0.8850586,0.0271273136138916
156,0.89448863,0.88707656,0.02732710838317871
157,0.89415324,0.8864077,0.029520750045776367
158,0.89364845,0.8817007,0.027529382705688478
159,0.89381635,0.88640547,0.02513265609741211
160,0.8943206,0.8857366,0.024337577819824218
161,0.89415246,0.88774776,0.029321861267089844
162,0.89415264,0.88707656,0.027028989791870118
163,0.89448816,0.8830384,0.033510446548461914
164,0.89432096,0.8864032,0.03590645790100098
165,0.8943206,0.88640547,0.02672882080078125
166,0.89566565,0.8830407,0.033411836624145506
167,0.89465666,0.88640547,0.026831340789794923
168,0.89633673,0.8884212,0.02623143196105957
169,0.89499295,0.8850541,0.0323117733001709
170,0.8956646,0.8850541,0.027028942108154298
171,0.89415264,0.8843807,0.029223108291625978
172,0.8949927,0.88774997,0.028425264358520507
173,0.8960012,0.88707656,0.028324460983276366
174,0.8953285,0.8864032,0.031616926193237305
175,0.89650476,0.8863987,0.025034189224243164
176,0.89465666,0.8850564,0.05854496955871582
177,0.8956647,0.8850587,0.031917381286621097
178,0.8949925,0.88640547,0.02433490753173828
179,0.89784956,0.885732,0.03281359672546387
180,0.8970092,0.8850564,0.03291187286376953
181,0.89650476,0.8864077,0.024236583709716798
182,0.89633715,0.8837164,0.034808349609375
183,0.89684105,0.88707435,0.0314173698425293
184,0.89717686,0.8877455,0.02543354034423828
185,0.89616835,0.8884233,0.0310183048248291
186,0.8975128,0.88707435,0.02672863006591797
187,0.89566404,0.8864032,0.024933052062988282
188,0.8978485,0.88371867,0.035308313369750974
189,0.8960007,0.88976794,0.033013010025024415
190,0.89801705,0.88506097,0.025531578063964843
191,0.89768094,0.8850587,0.030220651626586915
192,0.8975132,0.8864032,0.0360051155090332
193,0.898353,0.8850609,0.02872295379638672
194,0.8966734,0.8850587,0.042090225219726565
195,0.8963367,0.8850564,0.025433349609375
196,0.89751303,0.88707656,0.025332164764404298
197,0.89751273,0.8884212,0.03899717330932617
198,0.8978484,0.88774776,0.030321264266967775
199,0.8988571,0.8850587,0.03191485404968262
200,0.8983523,0.8850609,0.03450775146484375
201,0.8990248,0.8857298,0.024536991119384767
202,0.8988575,0.88841885,0.026728296279907228
203,0.89684135,0.88841885,0.031617021560668944
204,0.89717674,0.88707656,0.02623095512390137
205,0.89700794,0.8877455,0.028624868392944335
206,0.89835244,0.88573205,0.045677900314331055
207,0.89784783,0.886401,0.024936437606811523
208,0.8986886,0.8890878,0.02573094367980957
209,0.89532834,0.886401,0.0359036922454834
210,0.8985218,0.88304293,0.02483792304992676
211,0.8959998,0.886401,0.0259305477142334
212,0.8995288,0.88707435,0.03231353759765625
213,0.90070504,0.8830406,0.024236583709716798
214,0.8963361,0.8857298,0.0270291805267334
215,0.8988563,0.8897635,0.03620457649230957
216,0.8986882,0.88774997,0.025433158874511717
217,0.89801633,0.886401,0.03381128311157226
218,0.89717597,0.8897635,0.03151559829711914
219,0.89852077,0.8843853,0.02493314743041992
220,0.89717597,0.8877433,0.03551020622253418
221,0.89818466,0.8897635,0.03669962882995605
222,0.89801663,0.88909674,0.027228450775146483
223,0.8995287,0.88774776,0.029821443557739257
224,0.8985201,0.8884212,0.028824424743652342
225,0.9000329,0.88573426,0.02543339729309082
226,0.897848,0.8864032,0.033411931991577146
227,0.89986455,0.8850632,0.029321622848510743
228,0.8995283,0.8850609,0.02623124122619629
229,0.89919245,0.88573426,0.03610353469848633
230,0.89852,0.8884212,0.02842550277709961
231,0.89902383,0.89177686,0.031518411636352536
232,0.8991925,0.8870789,0.0276275634765625
233,0.9012082,0.88573426,0.02952103614807129
234,0.9017121,0.88573205,0.03231358528137207
235,0.9017127,0.8864032,0.034409284591674805
236,0.90020096,0.88976794,0.028127431869506836
237,0.89684045,0.88841885,0.029122352600097656
238,0.89868814,0.88774997,0.03570709228515625
239,0.89919263,0.8870721,0.02732696533203125
240,0.898688,0.8850586,0.03949441909790039
241,0.8986877,0.88976794,0.028226184844970702
242,0.90104055,0.88640547,0.03101825714111328
243,0.8996967,0.88774776,0.030419921875
244,0.8976799,0.88909227,0.03132143020629883
245,0.899024,0.88775223,0.025928306579589843
246,0.8980166,0.88909453,0.027228546142578126
247,0.8986882,0.88842344,0.03749980926513672
248,0.90171224,0.8870789,0.027925395965576173
249,0.8985201,0.88976794,0.027430248260498048
250,0.8991922,0.89178133,0.03630299568176269
251,0.89919245,0.88909453,0.033411931991577146
252,0.9025529,0.88909453,0.031816291809082034
253,0.9013769,0.88573426,0.04388265609741211
254,0.8991925,0.88909686,0.02812981605529785
255,0.90120876,0.8864032,0.02642817497253418
256,0.9002005,0.88841885,0.036404085159301755
257,0.90070426,0.8884233,0.026728439331054687
258,0.89936006,0.8864009,0.024933624267578124
259,0.8998641,0.88909674,0.03919649124145508
260,0.9007045,0.88842565,0.02682952880859375
261,0.9003687,0.88842565,0.026430463790893553
262,0.8995284,0.8877432,0.034409618377685545
263,0.8986887,0.8877455,0.027228355407714844
264,0.90003175,0.8857298,0.029321765899658202
265,0.90003216,0.88976794,0.0303189754486084
266,0.9000324,0.88909674,0.026132726669311525
267,0.90020037,0.89178133,0.041887950897216794
268,0.9013764,0.8897656,0.024042797088623048
269,0.9008725,0.88775223,0.026526451110839844
270,0.8995282,0.8864009,0.03570437431335449
271,0.90204847,0.88909453,0.024933385848999023
272,0.8996959,0.8884233,0.026932668685913087
273,0.89969647,0.8890878,0.03091540336608887
274,0.9003685,0.8843875,0.026430606842041016
275,0.8998644,0.88909674,0.031515979766845705
276,0.90036803,0.89178354,0.032316064834594725
277,0.9000319,0.88909674,0.02603158950805664
278,0.8981842,0.88842565,0.03510627746582031
279,0.9015441,0.88909227,0.030919694900512697
280,0.9003685,0.8864032,0.026329755783081055
281,0.8998644,0.89111024,0.03570446968078613
282,0.90020037,0.89043903,0.02872323989868164
283,0.9007047,0.89043677,0.0243375301361084
284,0.9007037,0.89043903,0.03570747375488281
285,0.8991922,0.88977015,0.026629924774169922
286,0.90053606,0.8870698,0.027925491333007812
287,0.9007045,0.88909453,0.02792525291442871
288,0.9003684,0.8870743,0.029720544815063477
289,0.9012081,0.89111245,0.03580560684204102
290,0.8990242,0.88775223,0.027728509902954102
291,0.9015449,0.8884212,0.02822585105895996
292,0.89969605,0.8884144,0.03740148544311524
293,0.9005356,0.89111024,0.02652878761291504
294,0.90188015,0.88977015,0.026233482360839843
295,0.8990245,0.88909227,0.03600311279296875
296,0.89986455,0.89043903,0.02982168197631836
297,0.8995285,0.8884166,0.02513279914855957
298,0.9017121,0.8904368,0.030818796157836913
299,0.90020066,0.88841665,0.040991687774658205
300,0.89969575,0.8877455,0.027428150177001953
301,0.9022163,0.88976794,0.03860006332397461
302,0.90003204,0.88909674,0.03380885124206543
303,0.8991925,0.89043677,0.03161687850952148
304,0.8995287,0.8884166,0.025133037567138673
305,0.902552,0.892457,0.03251562118530273
306,0.9007038,0.89379704,0.029720497131347657
307,0.8986885,0.8897702,0.030318832397460936
308,0.9018806,0.88976794,0.026927995681762695
309,0.9008726,0.8904368,0.03291687965393066
310,0.90053624,0.89043677,0.03410892486572266
311,0.90120775,0.8911079,0.029622459411621095
312,0.90104043,0.88775444,0.03191466331481933
313,0.89784825,0.8904301,0.02872300148010254
314,0.8998642,0.88909674,0.02672858238220215
315,0.89986384,0.88909227,0.030321502685546876
316,0.9018795,0.88842565,0.02732958793640137
317,0.90070426,0.89178133,0.02672858238220215
318,0.9012082,0.89043903,0.02982330322265625
319,0.90104026,0.88909674,0.028920936584472656
320,0.8998644,0.8958127,0.025731277465820313
321,0.9010404,0.88976794,0.02652888298034668
322,0.9025523,0.88774997,0.033414697647094725
323,0.90137595,0.88976794,0.02902383804321289
324,0.9000324,0.8924524,0.023935794830322266
325,0.90104026,0.8897656,0.03161706924438477
326,0.9010401,0.88707656,0.024733781814575195
327,0.90104043,0.8924502,0.03031892776489258
328,0.9018801,0.8924524,0.030818986892700195
329,0.9012079,0.8897567,0.02633209228515625
330,0.9017118,0.8863987,0.027428293228149415
331,0.903393,0.8884144,0.033310890197753906
332,0.90104043,0.89111245,0.024436187744140626
333,0.9007045,0.88708115,0.031914710998535156
334,0.9012082,0.88909686,0.030619478225708006
335,0.9012085,0.8917836,0.025034618377685548
336,0.90288794,0.89178133,0.03630561828613281
337,0.9007042,0.89042777,0.029122018814086915
338,0.9007042,0.8944704,0.02513279914855957
339,0.90003216,0.89043903,0.0316166877746582
340,0.90406454,0.8924524,0.0260317325592041
341,0.902552,0.8904413,0.024236392974853516
342,0.9017128,0.89043903,0.03091740608215332
343,0.90171224,0.8904413,0.030720853805541994
344,0.90020007,0.8870721,0.026329421997070314
345,0.90053654,0.8877432,0.03670191764831543
346,0.9028882,0.8911101,0.030321645736694335
347,0.90322447,0.8931282,0.02403717041015625
348,0.8998644,0.89043677,0.04109029769897461
349,0.9013764,0.88977015,0.02842679023742676
350,0.9003687,0.8897656,0.028024625778198243
351,0.9012087,0.89111245,0.03091731071472168
352,0.9027203,0.88976794,0.026930856704711913
353,0.9003686,0.89245474,0.026031684875488282
354,0.90154517,0.89582175,0.0309173583984375
355,0.90137637,0.89177907,0.026130247116088866
356,0.9015438,0.8863964,0.028824424743652342
357,0.9020484,0.8911147,0.03101825714111328
358,0.90238476,0.8877567,0.028127193450927734
359,0.9025528,0.88909674,0.03749971389770508
360,0.9022168,0.88977015,0.02742800712585449
361,0.90137625,0.8904436,0.03331093788146973
362,0.90036833,0.8931236,0.03201570510864258
363,0.90104055,0.88909686,0.030518388748168944
364,0.90137637,0.88976794,0.0254361629486084
365,0.9015447,0.8937993,0.02782721519470215
366,0.9018804,0.8890991,0.029122304916381837
367,0.9010402,0.8924524,0.02513260841369629
368,0.9022166,0.8897656,0.02732691764831543
369,0.90272063,0.88842565,0.0316166877746582
370,0.90137684,0.8890878,0.025233936309814454
371,0.90104043,0.8904413,0.033114051818847655
372,0.90188026,0.89111245,0.029122209548950194
373,0.9030572,0.89380157,0.024236774444580077
374,0.9013764,0.8958127,0.043683099746704104
375,0.90137655,0.8904436,0.028427982330322267
376,0.9015449,0.8931259,0.024335145950317383
377,0.9023844,0.88842565,0.02982172966003418
378,0.9020481,0.8904413,0.029919958114624022
379,0.90406466,0.89043903,0.02513270378112793
380,0.90272063,0.8897724,0.03500776290893555
381,0.90104026,0.8917858,0.02652912139892578
382,0.9025527,0.8904413,0.024435901641845705
383,0.9022166,0.8890877,0.036106204986572264
384,0.9017124,0.89245474,0.0260317325592041
385,0.9033931,0.8938015,0.03151569366455078
386,0.9028889,0.892457,0.028026390075683593
387,0.9012083,0.8917881,0.026329708099365235
388,0.9023844,0.89178133,0.028624582290649413
389,0.9022166,0.89178133,0.025632810592651368
390,0.9030574,0.8904413,0.027826833724975585
391,0.9027212,0.88908994,0.02762775421142578
392,0.90221673,0.8931282,0.026927995681762695
