epoch,train accuracy,test accuracy,time per epoch
51,0.89180106,0.90125394,0.03989434242248535
52,0.89180106,0.8965517,0.04091811180114746
53,0.8924731,0.89811915,0.038867950439453125
54,0.89314514,0.8996865,0.03889584541320801
55,0.89314514,0.9028213,0.04089021682739258
56,0.8891129,0.90125394,0.038896799087524414
57,0.89650536,0.90125394,0.04088997840881348
58,0.8938172,0.9028213,0.039893150329589844
59,0.89314514,0.90125394,0.03789925575256348
60,0.8924731,0.8996865,0.04089069366455078
61,0.8944892,0.8996865,0.03889584541320801
62,0.8938172,0.90125394,0.03889608383178711
63,0.89314514,0.90125394,0.04089069366455078
64,0.8958333,0.89811915,0.03889608383178711
65,0.8958333,0.8996865,0.03789854049682617
66,0.89314514,0.90125394,0.03789854049682617
67,0.8958333,0.90125394,0.037899017333984375
68,0.89650536,0.9059561,0.03789877891540527
69,0.89784944,0.90125394,0.03889608383178711
70,0.89650536,0.9028213,0.03989291191101074
71,0.8951613,0.9043887,0.035903215408325195
72,0.8971774,0.9028213,0.036900997161865234
73,0.89650536,0.9028213,0.037899017333984375
74,0.8971774,0.9059561,0.03889584541320801
75,0.8985215,0.9059561,0.042885541915893555
76,0.89784944,0.90125394,0.0388948917388916
77,0.8985215,0.90125394,0.03989434242248535
78,0.8985215,0.9043887,0.03889584541320801
79,0.8991935,0.9043887,0.03789877891540527
80,0.89986557,0.8996865,0.036901235580444336
81,0.9018817,0.9028213,0.03789877891540527
82,0.8958333,0.9043887,0.03789830207824707
83,0.8971774,0.9043887,0.038896799087524414
84,0.89986557,0.9059561,0.03943443298339844
85,0.90120965,0.9059561,0.03889656066894531
86,0.89650536,0.9059561,0.04089069366455078
87,0.8991935,0.9028213,0.038463592529296875
88,0.8971774,0.9043887,0.03889632225036621
89,0.89986557,0.9043887,0.0388951301574707
90,0.9018817,0.9075235,0.03889656066894531
91,0.89986557,0.9059561,0.03989291191101074
92,0.8991935,0.9043887,0.03889632225036621
93,0.89650536,0.90125394,0.038896799087524414
94,0.8991935,0.9043887,0.03843951225280762
95,0.89986557,0.9043887,0.036901235580444336
96,0.9018817,0.9043887,0.03690147399902344
97,0.8958333,0.9059561,0.038571834564208984
98,0.9018817,0.9059561,0.03988480567932129
99,0.90255374,0.9043887,0.0378720760345459
100,0.8991935,0.9043887,0.03889608383178711
101,0.89784944,0.9059561,0.038895368576049805
102,0.90255374,0.9028213,0.03889632225036621
103,0.90255374,0.9043887,0.03889608383178711
104,0.90456986,0.9043887,0.06682085990905762
105,0.8991935,0.9075235,0.03889656066894531
106,0.90120965,0.9043887,0.039893150329589844
107,0.90658605,0.9043887,0.03889608383178711
108,0.89784944,0.9059561,0.03889584541320801
109,0.9038978,0.9028213,0.03889632225036621
110,0.90120965,0.9059561,0.039893150329589844
111,0.89986557,0.9028213,0.038895606994628906
112,0.9072581,0.9043887,0.036900997161865234
113,0.9018817,0.9028213,0.03889632225036621
114,0.89650536,0.9075235,0.038895606994628906
115,0.90793014,0.9028213,0.037899017333984375
116,0.89986557,0.9043887,0.03789877891540527
117,0.90591395,0.9028213,0.03889608383178711
118,0.9052419,0.9059561,0.03889584541320801
119,0.9072581,0.9059561,0.03789877891540527
120,0.9052419,0.9028213,0.03690075874328613
121,0.8991935,0.9106583,0.03989386558532715
122,0.90658605,0.9075235,0.038896799087524414
123,0.9018817,0.9059561,0.038895368576049805
124,0.90994626,0.9075235,0.03889584541320801
125,0.9032258,0.9043887,0.03841257095336914
126,0.90591395,0.9075235,0.03989362716674805
127,0.9072581,0.9059561,0.03789830207824707
128,0.9086022,0.9059561,0.03765106201171875
129,0.90456986,0.9028213,0.038895368576049805
130,0.9052419,0.9059561,0.036901235580444336
131,0.90255374,0.9122257,0.037899017333984375
132,0.90255374,0.9106583,0.03789830207824707
133,0.9018817,0.9122257,0.03889656066894531
134,0.91129035,0.9075235,0.03789782524108887
135,0.9052419,0.9028213,0.03843975067138672
136,0.9038978,0.9043887,0.03789782524108887
137,0.9038978,0.9043887,0.03889656066894531
138,0.90994626,0.9059561,0.03889608383178711
139,0.9092742,0.9106583,0.03889584541320801
140,0.9038978,0.9059561,0.03789830207824707
141,0.90456986,0.90909094,0.03789877891540527
142,0.90456986,0.9043887,0.03989362716674805
143,0.90793014,0.9059561,0.03789854049682617
144,0.90658605,0.9059561,0.03789877891540527
145,0.90994626,0.9106583,0.03889608383178711
146,0.9052419,0.9043887,0.038895368576049805
147,0.9072581,0.9043887,0.03889656066894531
148,0.90994626,0.9075235,0.04088997840881348
149,0.9086022,0.9059561,0.03889656066894531
150,0.90456986,0.90909094,0.03789806365966797
151,0.9038978,0.9059561,0.03989386558532715
152,0.9038978,0.9043887,0.039893388748168945
153,0.90994626,0.9059561,0.03789877891540527
154,0.9092742,0.9075235,0.039893150329589844
155,0.90793014,0.9122257,0.03789854049682617
156,0.9052419,0.9075235,0.03690075874328613
157,0.90658605,0.9043887,0.03789925575256348
158,0.9032258,0.9043887,0.03889608383178711
159,0.9119624,0.90909094,0.03889632225036621
