type,epoch,test accuracy,entropy_cost
Char RNN 2 Layer Vanilla,11,0.11285714,2.4893992
Char RNN 2 Layer Vanilla,12,0.12,2.56202
Char RNN 2 Layer Vanilla,13,0.14142857,2.592854
Char RNN 2 Layer Vanilla,14,0.12571429,2.416173
Char RNN 2 Layer Vanilla,15,0.08857143,2.665697
Char RNN 2 Layer Vanilla,16,0.105714284,2.49334
Char RNN 2 Layer Vanilla,17,0.10428572,2.4593232
Char RNN 2 Layer Vanilla,18,0.114285715,2.4473064
Char RNN 2 Layer Vanilla,19,0.1,2.421037
Char RNN 2 Layer Vanilla,20,0.13,2.3990698
Char RNN 2 Layer Vanilla,21,0.12,2.3858175
Char RNN 2 Layer Vanilla,22,0.10428572,2.4316676
Char RNN 2 Layer Vanilla,23,0.13428572,2.3338335
Char RNN 2 Layer Vanilla,24,0.09857143,2.52488
Char RNN 2 Layer Vanilla,25,0.122857146,2.393106
Char RNN 2 Layer Vanilla,26,0.117142856,2.3968966
Char RNN 2 Layer Vanilla,27,0.14571428,2.3243442
Char RNN 2 Layer Vanilla,28,0.12142857,2.3875942
Char RNN 2 Layer Vanilla,29,0.10285714,2.4538856
Char RNN 2 Layer Vanilla,30,0.12142857,2.3784015
Char RNN 2 Layer Vanilla,31,0.122857146,2.3216937
Char RNN 2 Layer Vanilla,32,0.12857144,2.3417928
Char RNN 2 Layer Vanilla,33,0.10285714,2.476326
Char RNN 2 Layer Vanilla,34,0.10714286,2.355086
Char RNN 2 Layer Vanilla,35,0.105714284,2.3316069
Char RNN 2 Layer Vanilla,36,0.095714286,2.4744852
Char RNN 2 Layer Vanilla,37,0.12142857,2.2825716
Char RNN 2 Layer Vanilla,38,0.12142857,2.263192
Char RNN 2 Layer Vanilla,39,0.12428571,2.280865
Char RNN 2 Layer Vanilla,40,0.13571429,2.24094
Char RNN 2 Layer Vanilla,41,0.14571428,2.245478
Char RNN 2 Layer Vanilla,42,0.14142857,2.232647
Char RNN 2 Layer Vanilla,43,0.15285714,2.2039893
Char RNN 2 Layer Vanilla,44,0.13142857,2.315613
Char RNN 2 Layer Vanilla,45,0.14428571,2.2212636
Char RNN 2 Layer Vanilla,46,0.16428572,2.2074027
