epoch,test accuracy,entropy_cost
0,0.071428575,2.6500442
1,0.071428575,2.6481533
2,0.24714285,2.3040674
3,0.32714286,1.8949034
4,0.37428573,1.7384915
5,0.4,1.663148
6,0.42,1.574999
7,0.44428572,1.5191413
8,0.43857142,1.4445649
9,0.45857143,1.4009022
10,0.45714286,1.3590939
11,0.44428572,1.3071427
12,0.45857143,1.296719
13,0.45714286,1.2375968
14,0.45,1.206994
15,0.46571428,1.1779455
16,0.47285715,1.1572814
17,0.46714285,1.1276934
18,0.46142858,1.1063925
19,0.46,1.0986907
20,0.47142857,1.0952234
21,0.47428572,1.0412338
22,0.47857141,1.0150583
23,0.48,1.0359185
24,0.46714285,1.0289223
25,0.4842857,0.98863107
26,0.46714285,0.9474683
27,0.47,0.94418895
28,0.4757143,0.9517803
29,0.48,0.94190675
30,0.46,0.96481115
31,0.47857141,0.9446941
32,0.47428572,0.9061909
33,0.47714287,0.8770701
34,0.47,0.8891977
35,0.47857141,0.87076366
36,0.4842857,0.92648035
37,0.47428572,0.86990356
38,0.48857144,0.8695113
39,0.49571428,0.9141808
40,0.4757143,0.85188144
41,0.47857141,0.8224826
42,0.47,0.83529854
43,0.46857142,0.80792826
44,0.48142856,0.79958254
45,0.48,0.81636685
46,0.48142856,0.78273034
47,0.46285716,0.813193
48,0.46571428,0.79900366
49,0.47857141,0.81141865
50,0.47,0.8229569
51,0.46285716,0.7875781
52,0.4642857,0.7958355
53,0.48142856,0.75878155
54,0.45,0.78843355
55,0.46571428,0.7140961
56,0.47,0.71344215
57,0.47142857,0.7551345
58,0.46142858,0.76201636
59,0.4557143,0.7598515
60,0.4842857,0.7228965
61,0.47714287,0.69501096
62,0.47428572,0.7420965
63,0.4542857,0.72248185
64,0.47428572,0.70599127
65,0.46714285,0.6956267
66,0.45714286,0.70039344
67,0.46285716,0.6881093
68,0.46571428,0.6867943
69,0.4557143,0.7268884
70,0.46714285,0.7053177
71,0.48285714,0.76276237
72,0.45142856,0.71528935
73,0.47285715,0.6906093
74,0.46142858,0.67479056
75,0.46571428,0.66138554
76,0.46714285,0.6565781
77,0.46,0.66635084
78,0.47,0.7285915
79,0.46714285,0.7122536
80,0.46142858,0.65064645
81,0.46571428,0.6539058
82,0.47428572,0.64432645
83,0.4542857,0.6898611
84,0.46857142,0.6476522
85,0.46857142,0.6518779
86,0.46714285,0.6350441
87,0.47428572,0.6253415
88,0.46571428,0.61032295
89,0.47714287,0.6531141
90,0.45857143,0.7384198
91,0.46714285,0.6362312
92,0.4757143,0.64700466
93,0.46,0.6383811
94,0.46,0.6728696
95,0.46285716,0.6780765
96,0.46142858,0.63228106
97,0.47714287,0.6338684
98,0.47,0.6186605
99,0.46714285,0.65127635
