epoch,test accuracy,entropy_cost
0,0.20857143,2.1959534
1,0.34285715,1.7424738
2,0.38857144,1.4688874
3,0.41,1.2604591
4,0.44714287,1.1171597
5,0.43571427,0.9978734
6,0.42714286,0.95184594
7,0.41,0.8375138
8,0.44,0.75070554
9,0.4485714,0.6901051
10,0.42285714,0.6807795
11,0.4157143,0.6496177
12,0.42714286,0.5979537
13,0.41857144,0.55375004
14,0.40857142,0.5831351
15,0.4242857,0.5232603
16,0.40142858,0.54837185
17,0.42285714,0.4784328
18,0.38428572,0.55883694
19,0.40571427,0.46112025
20,0.41428572,0.40989608
21,0.40142858,0.41112208
22,0.4,0.37822723
23,0.40714285,0.35767847
24,0.3857143,0.38905588
25,0.41285715,0.39313376
26,0.4,0.34400034
27,0.3942857,0.3267256
28,0.4,0.32838
29,0.39285713,0.35951716
30,0.40142858,0.359225
31,0.39857143,0.3736091
32,0.40857142,0.33376417
33,0.40571427,0.41158226
34,0.38714287,0.35731357
35,0.41142857,0.2892242
36,0.39142856,0.2735965
37,0.39571428,0.25059125
38,0.38857144,0.2203356
39,0.38428572,0.20059519
40,0.39571428,0.18611075
41,0.38714287,0.18392168
42,0.40714285,0.18008208
43,0.39571428,0.17543995
44,0.38857144,0.17641309
45,0.40571427,0.17427333
46,0.37571427,0.17691357
47,0.39714286,0.26212302
48,0.3942857,0.38390654
49,0.4,0.47070792
50,0.40142858,0.3688869
51,0.41714287,0.38423356
52,0.4157143,0.26093155
53,0.42142856,0.22679365
54,0.40857142,0.1758408
55,0.39857143,0.16031618
56,0.4,0.22362614
57,0.41285715,0.19507867
58,0.39857143,0.18343264
59,0.42142856,0.1573409
60,0.42857143,0.17529911
61,0.3942857,0.20978084
62,0.40857142,0.20727205
63,0.40857142,0.1787369
64,0.41,0.15914124
65,0.40857142,0.17124043
66,0.40428573,0.16750227
67,0.39714286,0.17354538
68,0.39285713,0.16317904
69,0.38714287,0.16463599
70,0.39571428,0.15389648
71,0.41285715,0.1558356
72,0.41142857,0.20284978
73,0.39857143,0.17987311
74,0.3942857,0.21158813
75,0.41,0.21479477
76,0.40285715,0.16838779
77,0.39,0.18928266
78,0.4,0.16966476
79,0.40857142,0.17887464
80,0.39714286,0.14520046
81,0.3942857,0.218332
82,0.38857144,0.23469426
83,0.38428572,0.25271308
84,0.38857144,0.1710493
85,0.41285715,0.1910171
86,0.39142856,0.31838447
87,0.40285715,0.16692813
88,0.39285713,0.16845302
89,0.39571428,0.2272856
90,0.37428573,0.24025322
91,0.39142856,0.16984764
92,0.37714285,0.19111747
93,0.40428573,0.1693706
94,0.40571427,0.11820975
95,0.39714286,0.10226228
96,0.40142858,0.09629111
97,0.40714285,0.081472404
98,0.40285715,0.077030845
99,0.40142858,0.07455784
