type,epoch,test accuracy,entropy_cost
LSTM Char RNN w/ GC,14,0.22142857,2.0805209
LSTM Char RNN w/ GC,15,0.25428572,1.9956553
LSTM Char RNN w/ GC,16,0.2642857,1.9053129
LSTM Char RNN w/ GC,17,0.26857144,1.8969089
LSTM Char RNN w/ GC,18,0.27142859,1.8459072
LSTM Char RNN w/ GC,19,0.27857143,1.8191622
LSTM Char RNN w/ GC,20,0.34,1.751752
LSTM Char RNN w/ GC,21,0.35285714,1.6675422
LSTM Char RNN w/ GC,22,0.35,1.6232617
LSTM Char RNN w/ GC,23,0.34285715,1.6584598
LSTM Char RNN w/ GC,24,0.39285713,1.6268224
LSTM Char RNN w/ GC,25,0.3557143,1.5524491
LSTM Char RNN w/ GC,26,0.40857142,1.4475408
LSTM Char RNN w/ GC,27,0.38857144,1.4612694
LSTM Char RNN w/ GC,28,0.42857143,1.3462102
LSTM Char RNN w/ GC,29,0.45,1.283426
LSTM Char RNN w/ GC,30,0.43285716,1.2880989
LSTM Char RNN w/ GC,31,0.44142857,1.2426113
LSTM Char RNN w/ GC,32,0.49857143,1.1791848
LSTM Char RNN w/ GC,33,0.47428572,1.1883469
LSTM Char RNN w/ GC,34,0.5057143,1.1027147
LSTM Char RNN w/ GC,35,0.4842857,1.1070558
LSTM Char RNN w/ GC,36,0.51428574,1.0543555
LSTM Char RNN w/ GC,37,0.55,1.0150846
LSTM Char RNN w/ GC,38,0.55,0.99781764
LSTM Char RNN w/ GC,39,0.54571426,0.9869285
LSTM Char RNN w/ GC,40,0.55142856,0.9445006
LSTM Char RNN w/ GC,41,0.58428574,0.92703336
LSTM Char RNN w/ GC,42,0.55857146,0.97958577
LSTM Char RNN w/ GC,43,0.58,0.87234217
LSTM Char RNN w/ GC,44,0.6142857,0.82007754
LSTM Char RNN w/ GC,45,0.62857145,0.7835688
LSTM Char RNN w/ GC,46,0.6357143,0.7328075
LSTM Char RNN w/ GC,47,0.64857143,0.71013975
LSTM Char RNN w/ GC,48,0.6557143,0.67849076
LSTM Char RNN w/ GC,49,0.67714286,0.6191129
LSTM Char RNN w/ GC,50,0.6614286,0.7002787
LSTM Char RNN w/ GC,51,0.67,0.63162386
LSTM Char RNN w/ GC,52,0.68285716,0.60037965
LSTM Char RNN w/ GC,53,0.65,0.61403376
LSTM Char RNN w/ GC,54,0.66571426,0.56126744
LSTM Char RNN w/ GC,55,0.69142854,0.5326691
LSTM Char RNN w/ GC,56,0.69,0.5389829
LSTM Char RNN w/ GC,57,0.70714283,0.4678806
LSTM Char RNN w/ GC,58,0.68857145,0.46532404
LSTM Char RNN w/ GC,59,0.7014286,0.46261674
LSTM Char RNN w/ GC,60,0.69285715,0.42357692
LSTM Char RNN w/ GC,61,0.69285715,0.4400763
LSTM Char RNN w/ GC,62,0.69285715,0.41029638
LSTM Char RNN w/ GC,63,0.6957143,0.39680794
LSTM Char RNN w/ GC,64,0.7128571,0.37950057
LSTM Char RNN w/ GC,65,0.6942857,0.3878458
LSTM Char RNN w/ GC,66,0.70714283,0.35893065
LSTM Char RNN w/ GC,67,0.70714283,0.35738906
LSTM Char RNN w/ GC,68,0.70285714,0.363928
LSTM Char RNN w/ GC,69,0.71,0.3288136
LSTM Char RNN w/ GC,70,0.7114286,0.28960413
LSTM Char RNN w/ GC,71,0.69857144,0.29175043
LSTM Char RNN w/ GC,72,0.72571427,0.28444546
LSTM Char RNN w/ GC,73,0.7,0.28611723
LSTM Char RNN w/ GC,74,0.68,0.45430934
LSTM Char RNN w/ GC,75,0.7128571,0.33437368
LSTM Char RNN w/ GC,76,0.7014286,0.28658432
LSTM Char RNN w/ GC,77,0.7,0.23337983
LSTM Char RNN w/ GC,78,0.7157143,0.21042635
LSTM Char RNN w/ GC,79,0.7114286,0.23695011
LSTM Char RNN w/ GC,80,0.71,0.21145168
LSTM Char RNN w/ GC,81,0.7114286,0.19579382
LSTM Char RNN w/ GC,82,0.70857143,0.20149174
LSTM Char RNN w/ GC,83,0.7114286,0.19875865
LSTM Char RNN w/ GC,84,0.7128571,0.2242399
LSTM Char RNN w/ GC,85,0.7057143,0.20721072
LSTM Char RNN w/ GC,86,0.69142854,0.18045694
LSTM Char RNN w/ GC,87,0.70285714,0.16551648
LSTM Char RNN w/ GC,88,0.70857143,0.16401528
LSTM Char RNN w/ GC,89,0.7014286,0.16494219
LSTM Char RNN w/ GC,90,0.7185714,0.15108274
LSTM Char RNN w/ GC,91,0.7057143,0.14406435
LSTM Char RNN w/ GC,92,0.70428574,0.17142351
LSTM Char RNN w/ GC,93,0.68714285,0.16754381
LSTM Char RNN w/ GC,94,0.68857145,0.15319692
LSTM Char RNN w/ GC,95,0.7185714,0.15727153
LSTM Char RNN w/ GC,96,0.71428573,0.16351637
LSTM Char RNN w/ GC,97,0.7128571,0.14527044
LSTM Char RNN w/ GC,98,0.6942857,0.18383545
LSTM Char RNN w/ GC,99,0.69285715,0.18270531
Vanilla Char RNN,0,0.10142857,2.5942857
Vanilla Char RNN,1,0.11,2.5444026
Vanilla Char RNN,2,0.11571429,2.4731543
Vanilla Char RNN,3,0.092857145,2.6270652
Vanilla Char RNN,4,0.10142857,2.5624459
Vanilla Char RNN,5,0.09,2.5336256
Vanilla Char RNN,6,0.10428572,2.5167596
Vanilla Char RNN,7,0.11285714,2.4579978
Vanilla Char RNN,8,0.13428572,2.410148
Vanilla Char RNN,9,0.12142857,2.4403276
Vanilla Char RNN,10,0.09857143,2.5998013
Vanilla Char RNN,11,0.11,2.562773
Vanilla Char RNN,12,0.13,2.5262587
Vanilla Char RNN,13,0.11285714,2.4976778
Vanilla Char RNN,14,0.12428571,2.4680367
Vanilla Char RNN,15,0.10714286,2.470143
Vanilla Char RNN,16,0.13428572,2.4555836
Vanilla Char RNN,17,0.13285714,2.4383926
Vanilla Char RNN,18,0.12142857,2.4392424
Vanilla Char RNN,19,0.12,2.4539924
Vanilla Char RNN,20,0.14714286,2.4157948
Vanilla Char RNN,21,0.12714286,2.4251335
Vanilla Char RNN,22,0.13,2.4714308
Vanilla Char RNN,23,0.084285714,2.521062
Vanilla Char RNN,24,0.09428571,2.4957476
Vanilla Char RNN,25,0.095714286,2.476225
Vanilla Char RNN,26,0.12428571,2.4562018
Vanilla Char RNN,27,0.11571429,2.441847
Vanilla Char RNN,28,0.10142857,2.4178932
Vanilla Char RNN,29,0.13142857,2.4039824
Vanilla Char RNN,30,0.122857146,2.3977096
Vanilla Char RNN,31,0.11571429,2.4728098
Vanilla Char RNN,32,0.122857146,2.4095926
Vanilla Char RNN,33,0.12142857,2.3855975
Vanilla Char RNN,34,0.12142857,2.398931
Vanilla Char RNN,35,0.074285716,2.499127
Vanilla Char RNN,36,0.117142856,2.4209197
Vanilla Char RNN,37,0.10142857,2.5850186
Vanilla Char RNN,38,0.09,2.5179527
Vanilla Char RNN,39,0.092857145,2.5006716
Vanilla Char RNN,40,0.11,2.4695003
Vanilla Char RNN,41,0.08142857,2.4868252
Vanilla Char RNN,42,0.09142857,2.5348697
Vanilla Char RNN,43,0.09714286,2.5020518
Vanilla Char RNN,44,0.09142857,2.4545448
Vanilla Char RNN,45,0.08142857,2.4408748
Vanilla Char RNN,46,0.117142856,2.4220798
Vanilla Char RNN,47,0.105714284,2.41442
Vanilla Char RNN,48,0.105714284,2.4082496
Vanilla Char RNN,49,0.09857143,2.4433951
