epoch,test accuracy,entropy_cost
0,0.071428575,2.6422677
1,0.20714286,2.004943
2,0.46714285,1.4056927
3,0.7185714,0.7218603
4,0.83,0.2420054
5,0.8542857,0.090354845
6,0.85571426,0.044572435
7,0.8685714,0.02307677
8,0.87,0.015036049
9,0.8742857,0.010843285
10,0.87714285,0.008566099
11,0.87714285,0.0069673546
12,0.87857145,0.005896852
13,0.88,0.004707158
14,0.88,0.0040426566
15,0.88,0.0035352265
16,0.87857145,0.0031234436
17,0.87857145,0.0027858815
18,0.87857145,0.002503207
19,0.88,0.0022636908
20,0.8814286,0.0020588564
21,0.88285714,0.001881985
22,0.87857145,0.0017267282
23,0.87857145,0.0015906265
24,0.87714285,0.0014702305
25,0.8742857,0.0013622001
26,0.87285715,0.0012664453
27,0.8742857,0.0011802092
28,0.8757143,0.0011024802
29,0.8742857,0.0010321748
30,0.8742857,0.00096843403
31,0.87285715,0.0009099574
32,0.87142855,0.00085688283
33,0.87142855,0.0008078781
34,0.8685714,0.0007625605
35,0.8685714,0.00072105543
36,0.86714286,0.00068276847
37,0.86714286,0.0006472838
38,0.8657143,0.00061421987
39,0.86714286,0.00058355543
40,0.86714286,0.0005550544
41,0.86714286,0.0005285045
42,0.8685714,0.0005037183
43,0.87,0.00048066393
44,0.87142855,0.0004588809
45,0.87142855,0.00043861326
46,0.87142855,0.00041945107
47,0.87,0.00040142774
48,0.86714286,0.00038442152
49,0.86714286,0.00036837687
50,0.86714286,0.00035329568
51,0.86714286,0.00033903847
52,0.86714286,0.000325527
53,0.8657143,0.00031266638
54,0.8657143,0.00030050802
55,0.8657143,0.00028898436
56,0.8657143,0.00027808684
57,0.8657143,0.0002676953
58,0.86714286,0.00025780528
59,0.86714286,0.0002483786
60,0.86714286,0.00023940342
61,0.8657143,0.00023078803
62,0.8657143,0.00022269532
63,0.8657143,0.00021490734
64,0.8657143,0.00020746612
65,0.8657143,0.00020032933
66,0.8657143,0.00019355689
67,0.8657143,0.00018714854
68,0.8657143,0.00018083802
69,0.8657143,0.0001748642
70,0.8657143,0.0001691427
71,0.8657143,0.00016368409
72,0.8657143,0.00015839671
73,0.8642857,0.00015341015
74,0.8642857,0.00014849477
75,0.86285716,0.00014386358
76,0.86285716,0.0001392993
77,0.86285716,0.00013501191
78,0.8642857,0.00013084126
79,0.8642857,0.00012692744
80,0.8657143,0.00012308024
81,0.8657143,0.00011943381
82,0.8657143,0.00011580612
83,0.8642857,0.00011238136
84,0.8657143,0.000109144676
85,0.8642857,0.00010586353
86,0.8642857,0.00010277912
87,0.86285716,9.980175e-05
88,0.86142856,9.691098e-05
89,0.86285716,9.4361094e-05
90,0.86142856,9.16269e-05
91,0.86142856,8.9053785e-05
92,0.86142856,8.655791e-05
93,0.86142856,8.412215e-05
94,0.86142856,8.169566e-05
95,0.86142856,8.021954e-05
96,0.86142856,7.7451165e-05
97,0.86,7.532781e-05
98,0.86142856,7.326718e-05
99,0.86142856,7.127463e-05
