iter,tr-acc,te-acc
0,0.17876343,0.18965517
1,0.19086021,0.20532915
2,0.21639785,0.22727273
3,0.24663979,0.2507837
4,0.28494623,0.27899686
5,0.3252688,0.31191224
6,0.36491936,0.3526646
7,0.39448926,0.37304077
8,0.43077958,0.39811912
9,0.4717742,0.4122257
10,0.49395162,0.45141065
11,0.5322581,0.46551725
12,0.5645161,0.515674
13,0.59543014,0.53605014
14,0.6364247,0.5705329
15,0.6619624,0.5971787
16,0.68817204,0.61912227
17,0.703629,0.63479626
18,0.7217742,0.65673983
19,0.74596775,0.69122255
20,0.7567204,0.7053292
21,0.7708333,0.71630096
22,0.7782258,0.72727275
23,0.7788978,0.73510975
24,0.78293014,0.7398119
25,0.78293014,0.7398119
26,0.7842742,0.7445141
27,0.78629035,0.7445141
28,0.78763443,0.7492163
29,0.7889785,0.7492163
30,0.78965056,0.7492163
31,0.78965056,0.7492163
32,0.7903226,0.7492163
33,0.7903226,0.7492163
34,0.7903226,0.7507837
35,0.7903226,0.7507837
36,0.7903226,0.7507837
37,0.7903226,0.7507837
38,0.7903226,0.7507837
39,0.7903226,0.7507837
40,0.7903226,0.7507837
41,0.7903226,0.7507837
42,0.7903226,0.7507837
43,0.7903226,0.7507837
44,0.7903226,0.7507837
45,0.7903226,0.7507837
46,0.7903226,0.7507837
47,0.7903226,0.7507837
48,0.7903226,0.7507837
49,0.7903226,0.7507837
50,0.7903226,0.7507837
51,0.7903226,0.7507837
52,0.7903226,0.7507837
53,0.7903226,0.7507837
54,0.7903226,0.7507837
55,0.7903226,0.7507837
56,0.7903226,0.7507837
57,0.7903226,0.7507837
58,0.7903226,0.7507837
59,0.7903226,0.7507837
60,0.7903226,0.7507837
61,0.7903226,0.7507837
62,0.7903226,0.7507837
63,0.7903226,0.7507837
64,0.7903226,0.7507837
65,0.7903226,0.7507837
66,0.7903226,0.7507837
67,0.7903226,0.7507837
68,0.7903226,0.7507837
69,0.7903226,0.7507837
70,0.7903226,0.7507837
71,0.7903226,0.7507837
72,0.7903226,0.7507837
73,0.7903226,0.7507837
74,0.7903226,0.7507837
75,0.7903226,0.7507837
76,0.7903226,0.7507837
