iter,tr-acc,te-acc,time
0,0.79032385,0.7903419,0.12372918128967285
1,0.79032385,0.7903419,0.09433517456054688
2,0.79032385,0.7903419,0.09572348594665528
3,0.7908278,0.7923598,0.09291253089904786
4,0.8004066,0.80108917,0.09043960571289063
5,0.8183813,0.8219285,0.09230766296386719
6,0.8232523,0.82462895,0.09393329620361328
7,0.83904856,0.8393984,0.09111428260803223
8,0.8442534,0.8441168,0.09350595474243165
9,0.85886985,0.8588999,0.09459385871887208
10,0.8671051,0.8676249,0.09615650177001953
11,0.8734905,0.8716539,0.09087271690368652
12,0.87432957,0.8750141,0.09295539855957032
13,0.87432945,0.87298936,0.08933119773864746
14,0.88004076,0.87232274,0.0963676929473877
15,0.88088083,0.8770298,0.09036774635314941
16,0.87903273,0.877701,0.09080519676208496
17,0.8797048,0.87971437,0.09636778831481933
18,0.8823932,0.87770545,0.09472260475158692
19,0.8812164,0.88442135,0.09146757125854492
20,0.8828972,0.8770321,0.09496302604675293
21,0.8855847,0.8803946,0.09608168601989746
22,0.884577,0.88039225,0.09339485168457032
23,0.8870975,0.8837525,0.09183626174926758
24,0.88692874,0.88643706,0.09280891418457031
25,0.88827246,0.8877884,0.09090337753295899
26,0.8884424,0.88441914,0.09199175834655762
27,0.88894594,0.8877861,0.09373288154602051
28,0.8901213,0.8891284,0.09321579933166504
29,0.8924737,0.8897995,0.09376931190490723
30,0.8929771,0.8884528,0.09440631866455078
31,0.89247406,0.8884527,0.0904207706451416
32,0.89281,0.88912165,0.09159703254699707
33,0.8946579,0.88912165,0.08946495056152344
34,0.8948267,0.8904684,0.09799008369445801
35,0.89465714,0.89180624,0.09180335998535157
36,0.8951621,0.8931553,0.09112534523010254
37,0.895498,0.8931553,0.09513964653015136
38,0.8968415,0.8918107,0.09310078620910645
39,0.8966732,0.89046174,0.09515972137451172
40,0.89465725,0.89113504,0.10241541862487794
41,0.89415395,0.89248866,0.09519443511962891
42,0.8981861,0.89382637,0.09270505905151367
43,0.8988581,0.8944976,0.09840230941772461
44,0.89801836,0.8958376,0.09209418296813965
45,0.89835465,0.8944976,0.09450492858886719
46,0.9017142,0.8965065,0.09240994453430176
47,0.89785033,0.89651775,0.0996291160583496
48,0.901042,0.89785326,0.09826426506042481
49,0.89936227,0.8931507,0.10069484710693359
50,0.89801836,0.8965155,0.10498428344726562
51,0.9010431,0.8951642,0.10476064682006836
52,0.8991934,0.8991933,0.09820928573608398
53,0.9018825,0.8958376,0.1013422966003418
54,0.89953053,0.89786005,0.10877819061279297
55,0.90205115,0.8944839,0.10069527626037597
56,0.9027216,0.9005424,0.0971747875213623
57,0.90305746,0.8958353,0.11240744590759277
58,0.90473807,0.8971844,0.10453925132751465
59,0.903561,0.89852667,0.10293722152709961
60,0.90372926,0.895171,0.10360450744628906
61,0.90524197,0.899191,0.1048492431640625
62,0.90204895,0.8991955,0.09992575645446777
63,0.9044018,0.8971821,0.09848294258117676
64,0.90221864,0.89649737,0.10657010078430176
65,0.90440094,0.89986897,0.09590411186218262
66,0.90557796,0.8985199,0.09628448486328126
67,0.90507543,0.8971821,0.1014089584350586
68,0.90608215,0.9018734,0.10383710861206055
69,0.9033941,0.8965042,0.10080399513244628
70,0.9057449,0.8985244,0.0996795654296875
71,0.9045714,0.90188235,0.11465463638305665
72,0.9047359,0.9025513,0.1105881690979004
73,0.90557736,0.90456694,0.1031522274017334
74,0.904568,0.8944953,0.10042428970336914
75,0.90507346,0.8944953,0.10793018341064453
76,0.9059122,0.8971821,0.10120191574096679
77,0.90675277,0.90188235,0.1017801284790039
78,0.89868623,0.8938242,0.10098943710327149
79,0.9072577,0.9018847,0.11535105705261231
80,0.9044018,0.89515746,0.10350937843322754
81,0.90490484,0.90255576,0.10743460655212403
82,0.903057,0.8998644,0.11261239051818847
83,0.90624887,0.9005333,0.10992326736450195
84,0.9074253,0.90121114,0.09901618957519531
85,0.90725803,0.8965042,0.09987711906433105
86,0.9044005,0.901209,0.11133966445922852
87,0.9086011,0.8985176,0.1058321475982666
88,0.90641916,0.8985222,0.10284500122070313
89,0.9040648,0.8985108,0.10351624488830566
90,0.9069211,0.8991888,0.10526065826416016
91,0.907761,0.90322465,0.09995293617248535
92,0.9082655,0.90456915,0.10382575988769531
93,0.9091053,0.8991933,0.10023341178894044
94,0.9080971,0.90255344,0.10163249969482421
95,0.90725696,0.89380836,0.10163283348083496
96,0.9055772,0.9012067,0.10610804557800294
97,0.90826666,0.901209,0.10755853652954102
98,0.90658605,0.9012067,0.10315413475036621
