iter,tr-acc,te-acc,time
0,0.79032385,0.7903419,0.14520707130432128
1,0.79032385,0.7903419,0.0979837417602539
2,0.79032385,0.7903419,0.09007468223571777
3,0.7918356,0.7916887,0.10185537338256836
4,0.80208427,0.8004271,0.09636983871459961
5,0.81552494,0.8058075,0.09755616188049317
6,0.8274547,0.8219307,0.09940180778503419
7,0.8499672,0.84613466,0.0922724723815918
8,0.8563517,0.8575486,0.08960003852844238
9,0.86391175,0.8575509,0.09030299186706543
10,0.8751704,0.8669469,0.09518837928771973
11,0.87718546,0.87098503,0.09229025840759278
12,0.87836134,0.87367857,0.09013972282409669
13,0.8797053,0.8770321,0.09164528846740723
14,0.88188905,0.8783766,0.09596405029296876
15,0.88188934,0.87972116,0.09303936958312989
16,0.8850811,0.8790433,0.090264892578125
17,0.88373786,0.8803946,0.09207663536071778
18,0.88592166,0.88173914,0.09289321899414063
19,0.88508165,0.88240796,0.09020695686340333
20,0.8854166,0.88375473,0.0919687271118164
21,0.88793784,0.88577497,0.09170870780944824
22,0.8857524,0.8884528,0.08877110481262207
23,0.88692933,0.8877861,0.0869858741760254
24,0.8896173,0.8864416,0.09110827445983886
25,0.88928145,0.8857727,0.09674129486083985
26,0.89045733,0.8891239,0.0935211181640625
27,0.88827336,0.8884595,0.08859109878540039
28,0.8933137,0.88643706,0.09356889724731446
29,0.89314604,0.8864416,0.09099698066711426
30,0.892978,0.89114636,0.09285140037536621
31,0.8931459,0.8911441,0.09170961380004883
32,0.89364994,0.89114857,0.0903785228729248
33,0.8954976,0.88777715,0.09337873458862304
34,0.8961698,0.89383096,0.09241714477539062
35,0.8970106,0.893153,0.08946895599365234
36,0.8975129,0.8904707,0.08928427696228028
37,0.8973465,0.89450663,0.09140286445617676
38,0.89684105,0.8904662,0.08936824798583984
39,0.8981867,0.8971979,0.09112029075622559
40,0.8968419,0.889795,0.0907905101776123
41,0.89734507,0.8958353,0.09188776016235352
42,0.8981859,0.8918085,0.08910760879516602
43,0.8998662,0.89516866,0.08967733383178711
44,0.8988579,0.8944976,0.09433455467224121
45,0.8988577,0.89314854,0.0894021987915039
46,0.9002021,0.8971844,0.09389238357543946
47,0.90053767,0.89113504,0.09271359443664551
48,0.901377,0.89651096,0.09327831268310546
49,0.89952976,0.8965087,0.09172840118408203
50,0.9010414,0.89919776,0.09218354225158691
51,0.90053767,0.89651096,0.09116992950439454
52,0.9027227,0.8971798,0.09099884033203125
53,0.9010428,0.89919776,0.09129643440246582
54,0.89953023,0.89853346,0.08983416557312011
55,0.90053785,0.9005356,0.0904118537902832
56,0.9018816,0.90254897,0.09318599700927735
57,0.9012105,0.89987564,0.08991594314575195
58,0.902722,0.89785326,0.08948674201965331
59,0.9015457,0.8958376,0.090419340133667
60,0.9027216,0.90121126,0.09180159568786621
61,0.9038994,0.9005424,0.08727474212646484
62,0.90255415,0.8985221,0.08741178512573242
63,0.9027215,0.8985244,0.08840065002441407
64,0.9035622,0.89987576,0.0908921241760254
65,0.90423334,0.8985244,0.09190917015075684
66,0.90490544,0.8958376,0.09315400123596192
67,0.9042333,0.89651096,0.09184212684631347
68,0.90540993,0.901209,0.09425144195556641
69,0.9054102,0.90188235,0.09367246627807617
70,0.9070894,0.90053785,0.09023609161376953
71,0.9044016,0.90255344,0.09123692512512208
72,0.9060818,0.9005333,0.09131107330322266
73,0.90608233,0.90121347,0.08910770416259765
74,0.9050744,0.90121347,0.09575495719909669
75,0.9064177,0.8985244,0.09201383590698242
76,0.9060818,0.9032246,0.09667005538940429
77,0.90725833,0.8985199,0.09188652038574219
78,0.90641785,0.90053785,0.09483709335327148
79,0.9075937,0.9005356,0.09758229255676269
80,0.9067537,0.8971799,0.09799623489379883
81,0.9082656,0.900531,0.09232287406921387
82,0.9080981,0.9005311,0.09548234939575195
83,0.90994644,0.90456694,0.10093374252319336
84,0.90709,0.89986897,0.09768433570861816
85,0.90776205,0.8965087,0.10389204025268554
86,0.9065854,0.8991933,0.09952549934387207
87,0.90574706,0.90390265,0.10067157745361328
88,0.90809834,0.8991888,0.09704799652099609
89,0.90809757,0.8991933,0.09568114280700683
90,0.9072579,0.90121573,0.0983691692352295
91,0.90927476,0.90389806,0.09729480743408203
92,0.9102823,0.90121347,0.09418978691101074
93,0.91061866,0.8991888,0.09263591766357422
94,0.9101144,0.9018847,0.09398379325866699
95,0.9094432,0.90323144,0.09155302047729492
96,0.91045094,0.9032224,0.10157780647277832
97,0.9101141,0.8965065,0.09338212013244629
98,0.90809834,0.9032224,0.08912887573242187
99,0.9087694,0.8978465,0.08939552307128906
100,0.91045076,0.9072628,0.09415512084960938
101,0.9128026,0.9025513,0.10032649040222168
102,0.9104513,0.9045714,0.09994697570800781
103,0.9122988,0.90524036,0.09071087837219238
104,0.9112913,0.90255344,0.09159541130065918
105,0.91011447,0.9072674,0.09196829795837402
106,0.91179484,0.90255356,0.0967620849609375
107,0.911795,0.9059159,0.09426474571228027
108,0.9107865,0.90322006,0.09261441230773926
109,0.9116267,0.8991865,0.09463181495666503
110,0.91196424,0.9005356,0.09596447944641114
111,0.91145897,0.903227,0.0912846565246582
112,0.9117937,0.90456694,0.09505233764648438
113,0.9128024,0.9018779,0.09477896690368652
114,0.9111231,0.90456915,0.09173007011413574
115,0.9128026,0.90254897,0.09255614280700683
116,0.90977895,0.9045714,0.10003266334533692
117,0.91313946,0.90120447,0.09147791862487793
118,0.9116267,0.9059137,0.09558682441711426
119,0.9092735,0.89987576,0.10151734352111816
120,0.9104498,0.9032224,0.09785661697387696
121,0.9114582,0.9045714,0.0911097526550293
122,0.9128021,0.90725595,0.09302630424499511
123,0.9138099,0.90658486,0.09239320755004883
124,0.91330636,0.9065893,0.09331984519958496
125,0.9136425,0.90994054,0.08837952613830566
126,0.9139781,0.90725595,0.093023681640625
127,0.91280234,0.9018801,0.0929269790649414
128,0.9136419,0.9065893,0.09036822319030761
129,0.9148178,0.9106139,0.09126358032226563
130,0.9138104,0.90389127,0.09130363464355469
131,0.91313857,0.9106184,0.09117484092712402
132,0.9136418,0.9045714,0.09754972457885742
133,0.9154905,0.90523577,0.09317960739135742
134,0.908432,0.9045782,0.09539260864257812
135,0.9144832,0.9086005,0.09218697547912598
136,0.9148189,0.90859824,0.09031114578247071
137,0.9144829,0.9099474,0.09053506851196289
138,0.9111222,0.9079316,0.09158763885498047
139,0.91515446,0.90523577,0.09372787475585938
140,0.9128033,0.90322685,0.12512402534484862
141,0.91515505,0.90523577,0.0941838264465332
142,0.9138098,0.89716625,0.09521527290344238
143,0.914818,0.9045647,0.09717516899108887
144,0.9146506,0.90119535,0.09151349067687989
145,0.9176752,0.90658486,0.09011726379394532
146,0.9144821,0.90725374,0.09211645126342774
147,0.9149867,0.9038935,0.09475388526916503
148,0.91431475,0.90724695,0.08960003852844238
149,0.91582596,0.90523577,0.0946591854095459
150,0.91599494,0.90254223,0.09323678016662598
151,0.91330737,0.90524036,0.09151649475097656
152,0.9173384,0.90994054,0.09340906143188477
153,0.9159931,0.9065871,0.09209413528442383
154,0.9171699,0.9005333,0.09150185585021972
155,0.9176752,0.90792483,0.09394679069519044
156,0.91733855,0.9018779,0.09150176048278809
157,0.91750747,0.90524036,0.09268202781677246
158,0.91952276,0.90658265,0.09455971717834473
159,0.9186827,0.9065871,0.09497480392456055
160,0.91683495,0.9119608,0.09019632339477539
161,0.9153244,0.9086006,0.097904634475708
162,0.91431504,0.90926945,0.0909956455230713
163,0.9181789,0.91330755,0.09468269348144531
164,0.91750705,0.9092716,0.09495701789855956
165,0.9153226,0.90792716,0.09462218284606934
166,0.9168352,0.9086005,0.09728422164916992
167,0.91750777,0.9106162,0.10105252265930176
168,0.91716975,0.90792483,0.09394278526306152
169,0.9180099,0.9079294,0.09469199180603027
170,0.91666776,0.9092671,0.09310851097106934
171,0.9171704,0.9059159,0.0977978229522705
