iter,tr-acc,te-acc,time
48,0.89314514,0.86677116,0.07579731941223145
49,0.8985215,0.8840125,0.07579755783081055
50,0.89650536,0.87931037,0.07679462432861328
51,0.89784944,0.87774295,0.07679486274719238
52,0.8991935,0.87774295,0.0747992992401123
53,0.90456986,0.8761755,0.07579779624938965
54,0.89986557,0.87774295,0.0747995376586914
55,0.90591395,0.88244516,0.07579684257507324
56,0.9052419,0.87460816,0.07380366325378418
57,0.9092742,0.88087773,0.10172748565673828
58,0.90793014,0.8761755,0.0733497142791748
59,0.9032258,0.87931037,0.07280492782592773
60,0.9052419,0.88087773,0.07380247116088867
61,0.90456986,0.88244516,0.07380294799804688
62,0.9072581,0.87931037,0.0743248462677002
63,0.9072581,0.87774295,0.07564330101013184
64,0.9052419,0.88244516,0.07377362251281738
65,0.90994626,0.87931037,0.07579708099365234
66,0.9052419,0.87304074,0.07480049133300781
67,0.90793014,0.88557994,0.07280492782592773
68,0.9106183,0.87931037,0.07479977607727051
69,0.91129035,0.88087773,0.07480025291442871
70,0.9106183,0.88087773,0.07579731941223145
71,0.9072581,0.88244516,0.07679438591003418
72,0.90793014,0.88087773,0.07480001449584961
73,0.9086022,0.88087773,0.07380223274230957
74,0.9086022,0.87931037,0.07579779624938965
75,0.9072581,0.88244516,0.0747992992401123
76,0.9139785,0.88244516,0.07380318641662598
77,0.9092742,0.8840125,0.07380223274230957
78,0.9092742,0.88244516,0.07471680641174316
79,0.91129035,0.8761755,0.07480001449584961
80,0.9106183,0.8871473,0.07480001449584961
81,0.90994626,0.88087773,0.07380247116088867
82,0.9086022,0.87931037,0.0754239559173584
83,0.90994626,0.88087773,0.07380342483520508
84,0.9086022,0.88244516,0.0747995376586914
85,0.9086022,0.88557994,0.07380366325378418
86,0.9133065,0.88087773,0.07380175590515137
87,0.91599464,0.88244516,0.0718076229095459
88,0.9086022,0.87931037,0.07380294799804688
89,0.9092742,0.88087773,0.07380270957946777
90,0.9092742,0.8840125,0.07479977607727051
91,0.8985215,0.8761755,0.07579731941223145
92,0.9119624,0.88087773,0.07480025291442871
93,0.9133065,0.8871473,0.07380247116088867
94,0.9106183,0.88557994,0.07579684257507324
95,0.9092742,0.88244516,0.07480025291442871
96,0.91263443,0.87931037,0.07480001449584961
97,0.9139785,0.8840125,0.07380294799804688
98,0.91263443,0.87774295,0.0747995376586914
99,0.91263443,0.8871473,0.0718080997467041
100,0.9133065,0.88087773,0.0747992992401123
101,0.9119624,0.88244516,0.07536864280700684
102,0.9072581,0.87304074,0.07436203956604004
103,0.9153226,0.88871473,0.07480025291442871
104,0.9086022,0.87931037,0.07579708099365234
105,0.9139785,0.8871473,0.07380294799804688
106,0.91465056,0.8918495,0.07479977607727051
107,0.9153226,0.88557994,0.07380270957946777
108,0.91465056,0.8840125,0.07479977607727051
109,0.9153226,0.88557994,0.07779169082641602
110,0.90994626,0.88557994,0.07779192924499512
111,0.9133065,0.88871473,0.07579731941223145
112,0.9139785,0.88244516,0.07380318641662598
113,0.9072581,0.87774295,0.0747988224029541
114,0.9166667,0.8840125,0.07380342483520508
115,0.9086022,0.89341694,0.07380199432373047
116,0.91465056,0.87774295,0.07480049133300781
117,0.9139785,0.89028215,0.07579755783081055
118,0.91599464,0.88244516,0.07579660415649414
119,0.9166667,0.88244516,0.07579779624938965
120,0.9153226,0.88087773,0.07779240608215332
121,0.9139785,0.8918495,0.07635092735290527
122,0.9139785,0.8918495,0.0753786563873291
123,0.9153226,0.8871473,0.07479977607727051
124,0.9153226,0.89028215,0.07579731941223145
125,0.90591395,0.8840125,0.07878899574279785
126,0.9153226,0.88087773,0.07679510116577148
127,0.91465056,0.87931037,0.07579731941223145
128,0.9139785,0.88871473,0.07480025291442871
129,0.9139785,0.8871473,0.07579636573791504
130,0.9153226,0.8918495,0.07579779624938965
131,0.9180108,0.87931037,0.07779216766357422
132,0.91263443,0.8840125,0.07579708099365234
133,0.9186828,0.87774295,0.07579755783081055
134,0.9133065,0.89028215,0.07579708099365234
135,0.91465056,0.88087773,0.07779121398925781
136,0.90994626,0.89341694,0.07579755783081055
137,0.9173387,0.8840125,0.07345986366271973
138,0.9106183,0.88087773,0.0763397216796875
139,0.9166667,0.88244516,0.07278037071228027
140,0.9139785,0.88557994,0.07380270957946777
141,0.9173387,0.87931037,0.07380199432373047
142,0.9173387,0.88244516,0.07509112358093262
143,0.9133065,0.88557994,0.07579755783081055
144,0.9133065,0.89028215,0.07280540466308594
145,0.9153226,0.88557994,0.07280540466308594
146,0.90994626,0.87774295,0.07380247116088867
147,0.90120965,0.8949843,0.07480001449584961
148,0.9153226,0.8871473,0.07579731941223145
149,0.9180108,0.88087773,0.07579755783081055
150,0.9153226,0.88557994,0.07679438591003418
151,0.9153226,0.89341694,0.07679462432861328
152,0.9200269,0.87774295,0.07382488250732422
153,0.9166667,0.8871473,0.0708155632019043
154,0.91465056,0.88557994,0.0737752914428711
155,0.9139785,0.88871473,0.071807861328125
156,0.92069894,0.88244516,0.07380270957946777
157,0.91599464,0.8918495,0.07458782196044922
158,0.9139785,0.89028215,0.07380223274230957
159,0.91599464,0.89341694,0.07380247116088867
160,0.9153226,0.88871473,0.07360219955444336
161,0.90658605,0.87460816,0.07135748863220215
162,0.91599464,0.89028215,0.07280492782592773
163,0.9133065,0.8918495,0.07139754295349121
164,0.90994626,0.8871473,0.07177948951721191
165,0.9139785,0.8871473,0.07480096817016602
166,0.9133065,0.89028215,0.07380223274230957
167,0.92069894,0.87774295,0.07579684257507324
168,0.91935486,0.88087773,0.07579803466796875
169,0.9166667,0.88871473,0.07579684257507324
170,0.9186828,0.87774295,0.07380247116088867
171,0.91599464,0.89028215,0.07480049133300781
172,0.9153226,0.89028215,0.07480001449584961
173,0.9092742,0.89341694,0.07579708099365234
174,0.91465056,0.88871473,0.07383322715759277
175,0.9153226,0.88871473,0.07676410675048828
176,0.9166667,0.8949843,0.07579731941223145
177,0.9153226,0.88871473,0.07731032371520996
178,0.91935486,0.88557994,0.07680702209472656
179,0.9153226,0.88557994,0.07455134391784668
180,0.91599464,0.8949843,0.0747992992401123
181,0.91599464,0.8871473,0.07536101341247559
182,0.9133065,0.89028215,0.07679533958435059
183,0.9180108,0.87774295,0.07631516456604004
184,0.921371,0.8871473,0.07848906517028809
185,0.9173387,0.88871473,0.07380223274230957
186,0.9086022,0.89028215,0.07579731941223145
187,0.9119624,0.87774295,0.07779169082641602
188,0.92069894,0.88244516,0.07380270957946777
189,0.91599464,0.89341694,0.07480001449584961
190,0.9173387,0.89028215,0.07579708099365234
191,0.9180108,0.88871473,0.07280564308166504
192,0.922043,0.87931037,0.07479977607727051
193,0.91935486,0.8949843,0.07579708099365234
194,0.9166667,0.89028215,0.07380199432373047
195,0.9180108,0.8918495,0.07480072975158691
196,0.9186828,0.8949843,0.07380199432373047
197,0.91935486,0.8965517,0.07380247116088867
198,0.9133065,0.89028215,0.07480049133300781
199,0.9173387,0.88871473,0.07280564308166504
200,0.9186828,0.89028215,0.07479977607727051
201,0.9166667,0.89028215,0.07579708099365234
202,0.92069894,0.89341694,0.07579731941223145
203,0.9180108,0.88557994,0.07730746269226074
204,0.9173387,0.88871473,0.07236218452453613
205,0.9173387,0.89028215,0.07280492782592773
206,0.9153226,0.8840125,0.07380318641662598
207,0.9180108,0.8918495,0.07380175590515137
208,0.9180108,0.89028215,0.07280588150024414
209,0.9186828,0.8918495,0.07482504844665527
210,0.9200269,0.8871473,0.07278013229370117
211,0.91935486,0.89028215,0.07480001449584961
212,0.9200269,0.8949843,0.07280540466308594
213,0.922043,0.88087773,0.07081079483032227
214,0.9139785,0.88871473,0.07380175590515137
215,0.9173387,0.88871473,0.07480072975158691
216,0.92069894,0.8918495,0.07380247116088867
217,0.91935486,0.8918495,0.07480001449584961
218,0.92069894,0.89341694,0.07530522346496582
219,0.9173387,0.8871473,0.07380175590515137
220,0.9133065,0.8949843,0.07380342483520508
221,0.9200269,0.89028215,0.07337808609008789
222,0.9200269,0.89811915,0.07280445098876953
223,0.9166667,0.8918495,0.07380342483520508
224,0.92271507,0.87460816,0.0767967700958252
225,0.92069894,0.89028215,0.07538104057312012
226,0.91935486,0.8949843,0.07333827018737793
227,0.91263443,0.89341694,0.07579755783081055
228,0.91935486,0.8840125,0.07380247116088867
229,0.9180108,0.8871473,0.07380199432373047
230,0.9173387,0.88871473,0.07579755783081055
231,0.91465056,0.8918495,0.07480001449584961
232,0.9247312,0.88087773,0.07380247116088867
233,0.9092742,0.89341694,0.07579755783081055
234,0.9247312,0.87774295,0.07183337211608887
235,0.9200269,0.8840125,0.07277965545654297
236,0.91935486,0.8871473,0.07280540466308594
237,0.9186828,0.8918495,0.07582497596740723
238,0.91935486,0.89028215,0.07379984855651855
239,0.91935486,0.87931037,0.07380247116088867
240,0.922043,0.89341694,0.07377767562866211
241,0.92069894,0.8918495,0.07579731941223145
242,0.91935486,0.8761755,0.07380270957946777
