iter,tr-acc,te-acc
0,0.78813875,0.78832626
1,0.79032385,0.7903419
2,0.79032385,0.7903419
3,0.79032385,0.7903419
4,0.79032385,0.7903419
5,0.79032385,0.7903419
6,0.79032385,0.7903419
7,0.79032385,0.7903419
8,0.79032385,0.7903419
9,0.79032385,0.7903419
10,0.79032385,0.7903419
11,0.79032385,0.7903419
12,0.79032385,0.7903419
13,0.79032385,0.7903419
14,0.79032385,0.7903419
15,0.79032385,0.7903419
16,0.79032385,0.7903419
17,0.79032385,0.7903419
18,0.79032385,0.7903419
19,0.79032385,0.7903419
20,0.79032385,0.7903419
21,0.79032385,0.7903419
22,0.79032385,0.7903419
23,0.79032385,0.7903419
24,0.79032385,0.7903419
25,0.79032385,0.7903419
26,0.79032385,0.7903419
27,0.79032385,0.7903419
28,0.79032385,0.7903419
29,0.79032385,0.7903419
30,0.79032385,0.7903419
31,0.7904917,0.79101527
32,0.79065967,0.7923621
33,0.7909956,0.7923621
34,0.79116356,0.7923621
35,0.7918358,0.7937044
36,0.7918358,0.7943778
37,0.7926756,0.7957201
38,0.7931795,0.7963935
39,0.79385126,0.7963935
40,0.7940193,0.7963935
41,0.79435545,0.7963935
42,0.7950274,0.79706466
43,0.79536325,0.79706466
44,0.7960351,0.797738
45,0.79670733,0.797738
46,0.79821926,0.7990826
47,0.79872316,0.79975593
48,0.79905903,0.8004271
49,0.8004035,0.80177164
50,0.8007396,0.80244505
51,0.8032602,0.80110276
52,0.80393255,0.8017739
53,0.80477285,0.8017739
54,0.8059495,0.80378735
55,0.8072936,0.80512965
56,0.80796605,0.80781424
57,0.80914223,0.8084853
58,0.81099063,0.8098276
59,0.81199837,0.8104987
60,0.8133429,0.8104987
61,0.81351185,0.8098276
62,0.8163675,0.8098276
63,0.81687164,0.8104987
64,0.81771165,0.8111699
65,0.81788003,0.811841
66,0.818888,0.8125144
67,0.8192242,0.81452787
68,0.82040054,0.815199
69,0.8224166,0.81452787
70,0.8217446,0.8158701
71,0.8239295,0.8165413
72,0.8251055,0.8165413
73,0.8257779,0.8172124
74,0.82695407,0.8172124
75,0.82813054,0.81855696
76,0.8303143,0.82192165
77,0.83148986,0.82125056
78,0.83350575,0.824613
79,0.834514,0.8266287
80,0.8350183,0.8272999
81,0.8370339,0.83200914
82,0.83703375,0.8326802
83,0.8385458,0.8340225
84,0.8385458,0.8353648
85,0.84056187,0.83940065
86,0.84123373,0.8373828
87,0.84224176,0.838054
88,0.8445938,0.8434366
89,0.8457702,0.84074974
90,0.84694636,0.84410775
91,0.8479541,0.84545004
92,0.84879494,0.848808
93,0.8508105,0.85015476
94,0.8511467,0.852166
95,0.85282725,0.8521637
96,0.8546747,0.8561951
97,0.85652226,0.8568662
98,0.8575305,0.85753727
99,0.85736245,0.85821074
100,0.8598827,0.86156875
101,0.86038697,0.86156875
102,0.86105883,0.8635889
103,0.86105883,0.8622421
104,0.8629066,0.8622421
105,0.864419,0.8642578
106,0.8649231,0.8649289
107,0.8664344,0.8656023
108,0.86677074,0.8656023
109,0.8674428,0.86762035
110,0.8676106,0.86627567
111,0.8677785,0.86627567
112,0.8697942,0.8669492
113,0.87046653,0.866278
114,0.87147456,0.8689672
115,0.87147444,0.86761796
116,0.8723143,0.87030935
117,0.8733225,0.87165165
118,0.8733223,0.8716494
119,0.87315446,0.87030476
120,0.8739942,0.87232506
121,0.8748339,0.8729984
122,0.8746664,0.8729984
123,0.8758424,0.87299615
124,0.8758421,0.87232506
125,0.8770183,0.8750141
126,0.8770178,0.8743407
127,0.8768501,0.87366736
128,0.87718594,0.8736696
129,0.87819356,0.8729962
130,0.87802523,0.8756875
131,0.8802086,0.8763609
132,0.87970483,0.8756875
133,0.87920105,0.8756875
134,0.8795369,0.8770321
135,0.88104856,0.8750141
136,0.87970495,0.8763586
137,0.8803768,0.8770321
138,0.8812169,0.87770545
139,0.8812168,0.87972337
140,0.88172054,0.87972116
141,0.8810488,0.8783766
142,0.88121665,0.87972337
143,0.8808805,0.88039684
144,0.8817204,0.8810657
145,0.88138455,0.881739
146,0.88172054,0.88106793
147,0.8822247,0.8803946
148,0.8818885,0.88308364
149,0.8822249,0.88107026
150,0.8823926,0.88241255
151,0.8825604,0.883757
152,0.88306445,0.8844282
153,0.88256085,0.8830837
154,0.8832327,0.883757
155,0.8823924,0.88241255
156,0.8832323,0.8824148
157,0.88356864,0.88375473
158,0.8832323,0.883757
159,0.88356847,0.88241255
160,0.8837367,0.8824148
161,0.88424045,0.8824148
162,0.8835684,0.8830859
163,0.88390493,0.8824148
164,0.88474476,0.8817436
165,0.88407266,0.8844282
166,0.8854171,0.8830859
167,0.8839057,0.883757
168,0.88390505,0.8844282
169,0.88474524,0.88375485
170,0.88541716,0.8837593
171,0.8855852,0.8844305
172,0.88575304,0.88577497
173,0.8854168,0.8851016
174,0.8847455,0.8837571
175,0.88457745,0.8851016
176,0.886425,0.8844327
177,0.8862568,0.883757
178,0.88692886,0.882417
179,0.885585,0.8850993
180,0.88575286,0.8851016
181,0.8862573,0.88375485
182,0.8855854,0.8817436
183,0.8850812,0.88442594
184,0.88608885,0.8850993
185,0.8860892,0.88241255
186,0.886593,0.8851015
187,0.88676107,0.8824102
188,0.886089,0.8824102
189,0.8864254,0.88308364
190,0.88625735,0.88375247
191,0.8860892,0.88375247
192,0.8862572,0.88308364
193,0.88625747,0.88375485
194,0.88676137,0.88308144
195,0.8872652,0.8817369
196,0.8862572,0.88173455
197,0.88676137,0.8810612
198,0.8869294,0.8797189
199,0.88692915,0.8810612
200,0.8867609,0.8824102
201,0.8865927,0.88106334
202,0.88793695,0.8810657
203,0.88793707,0.8790433
204,0.88676083,0.8803924
205,0.887601,0.88106346
206,0.88827264,0.88173467
207,0.8886093,0.8824102
208,0.8870966,0.88173914
209,0.8881043,0.88375473
210,0.8882723,0.8824102
211,0.8892808,0.88106346
212,0.8879363,0.882408
213,0.8870967,0.8803878
214,0.88860846,0.88308364
215,0.8876003,0.8844236
216,0.8876004,0.88308144
217,0.88810456,0.88442594
218,0.8882723,0.88375485
219,0.88810444,0.88576823
220,0.8881043,0.8857705
221,0.8889449,0.88442594
222,0.8896171,0.8837525
223,0.889953,0.88442594
224,0.8894491,0.8857727
225,0.88911307,0.88307685
226,0.88944864,0.88711727
227,0.888945,0.8864416
228,0.8892811,0.887115
229,0.8904567,0.8857705
230,0.889785,0.88711727
231,0.8889448,0.8871128
232,0.89112884,0.88711727
