iter,tr-acc,te-acc
0,0.7903226,0.7507837
1,0.7903226,0.7507837
2,0.7903226,0.7507837
3,0.7903226,0.7507837
4,0.7903226,0.7507837
5,0.7903226,0.7507837
6,0.7903226,0.7507837
7,0.7903226,0.7507837
8,0.7903226,0.7507837
9,0.7903226,0.7507837
10,0.7903226,0.7507837
11,0.7903226,0.7507837
12,0.7903226,0.7507837
13,0.7903226,0.7507837
14,0.7903226,0.7507837
15,0.7903226,0.7507837
16,0.7903226,0.7507837
17,0.7903226,0.7507837
18,0.7903226,0.7507837
19,0.7903226,0.7507837
20,0.7903226,0.7507837
21,0.7916667,0.7507837
22,0.7936828,0.7507837
23,0.7936828,0.7507837
24,0.7923387,0.7523511
25,0.7950269,0.7554859
26,0.7997312,0.7586207
27,0.79905915,0.7586207
28,0.8030914,0.76175547
29,0.8030914,0.7680251
30,0.8064516,0.76959246
31,0.8091398,0.77272725
32,0.8091398,0.77742946
33,0.81182796,0.7789969
34,0.8145161,0.7821317
35,0.81653225,0.78056425
36,0.81989247,0.7821317
37,0.8205645,0.7821317
38,0.82123655,0.78369904
39,0.82258064,0.78369904
40,0.82459676,0.7868339
41,0.82594085,0.78840125
42,0.8252688,0.78996867
43,0.8319892,0.79153603
44,0.8319892,0.78996867
45,0.8346774,0.79153603
46,0.8360215,0.79153603
47,0.8380376,0.79780567
48,0.8413978,0.79623824
49,0.84408605,0.8025078
50,0.8427419,0.80407524
51,0.84408605,0.80407524
52,0.8447581,0.80407524
53,0.8467742,0.8056426
54,0.8514785,0.8056426
55,0.85013443,0.80877745
56,0.8541667,0.80721
57,0.85685486,0.81191224
58,0.8548387,0.8103448
59,0.85215056,0.8134796
60,0.8555108,0.81191224
61,0.86021507,0.81661445
62,0.8622312,0.815047
63,0.86290324,0.81661445
64,0.86491936,0.81974924
65,0.86491936,0.8181818
66,0.8635753,0.81661445
67,0.8655914,0.822884
68,0.86626345,0.8213166
69,0.8669355,0.822884
70,0.86962366,0.82758623
71,0.86962366,0.822884
72,0.8716398,0.8291536
73,0.87096775,0.8260188
74,0.8736559,0.8291536
75,0.87096775,0.8291536
76,0.8729839,0.830721
77,0.8729839,0.830721
78,0.8729839,0.8291536
79,0.8729839,0.830721
80,0.87231183,0.830721
81,0.8729839,0.82758623
82,0.8736559,0.8322884
