iter,tr-acc,te-acc,time
0,0.7711641,0.76282513,0.0908803939819336
1,0.79032385,0.7903419,0.009181690216064454
2,0.79032385,0.7903419,0.010576868057250976
3,0.79032385,0.7903419,0.006788301467895508
4,0.79032385,0.7903419,0.007884693145751954
5,0.79032385,0.7903419,0.006888389587402344
6,0.79032385,0.7903419,0.007579612731933594
7,0.79032385,0.7903419,0.008882617950439453
8,0.79032385,0.7903419,0.006388378143310547
9,0.79032385,0.7903419,0.006981039047241211
10,0.79032385,0.7903419,0.007294988632202149
11,0.79032385,0.7903419,0.007180976867675781
12,0.79032385,0.7903419,0.007380104064941407
13,0.79032385,0.7903419,0.007789802551269531
14,0.79032385,0.7903419,0.007576370239257812
15,0.79032385,0.7903419,0.007380199432373047
16,0.79032385,0.7903419,0.008988380432128906
17,0.79032385,0.7903419,0.009175443649291992
18,0.79032385,0.7903419,0.007393836975097656
19,0.79032385,0.7903419,0.0059817790985107425
20,0.79032385,0.7903419,0.007180500030517578
21,0.79032385,0.7903419,0.006991147994995117
22,0.79032385,0.7903419,0.007380056381225586
23,0.79032385,0.7903419,0.006981420516967774
24,0.79032385,0.7903419,0.007380342483520508
25,0.79032385,0.7903419,0.006797266006469726
26,0.79032385,0.7903419,0.010970544815063477
27,0.79032385,0.7903419,0.008377552032470703
28,0.79032385,0.7903419,0.007380390167236328
29,0.79032385,0.7903419,0.006683778762817383
30,0.79032385,0.7903419,0.006298589706420899
31,0.79032385,0.7903419,0.00688328742980957
32,0.79032385,0.7903419,0.00638270378112793
33,0.79032385,0.7903419,0.00797882080078125
34,0.79032385,0.7903419,0.006582498550415039
35,0.79032385,0.7903419,0.00638284683227539
36,0.79032385,0.7903419,0.008776426315307617
37,0.79032385,0.7903419,0.007380247116088867
38,0.79032385,0.7903419,0.007517576217651367
39,0.79032385,0.7903419,0.007178640365600586
40,0.79032385,0.7903419,0.006781959533691406
41,0.79032385,0.7903419,0.006981182098388672
42,0.79032385,0.7903419,0.006383371353149414
43,0.79032385,0.7903419,0.007379913330078125
44,0.79032385,0.7903419,0.0071810722351074215
45,0.79032385,0.7903419,0.007180404663085937
46,0.79032385,0.7903419,0.00797863006591797
47,0.79032385,0.7903419,0.007579898834228516
48,0.79032385,0.7903419,0.008975839614868164
49,0.79032385,0.7903419,0.007483386993408203
50,0.79032385,0.7903419,0.0066836833953857425
51,0.79032385,0.7903419,0.007983112335205078
52,0.79032385,0.7903419,0.007087516784667969
53,0.79032385,0.7903419,0.0071868896484375
54,0.79049176,0.7903419,0.006780147552490234
55,0.79049176,0.7903419,0.00718083381652832
56,0.7906597,0.7903419,0.009081792831420899
57,0.7909955,0.7916887,0.007380199432373047
58,0.7908274,0.7916887,0.011674833297729493
59,0.79116356,0.7916887,0.007583904266357422
60,0.79166776,0.7923598,0.0069812297821044925
61,0.79133177,0.7923598,0.007982873916625976
62,0.79133177,0.7923598,0.007583999633789062
63,0.7914998,0.7923598,0.007383918762207032
64,0.79149973,0.7923598,0.007278347015380859
65,0.79133177,0.7923598,0.007185125350952148
66,0.79217166,0.7923598,0.008382272720336915
67,0.7925075,0.7923598,0.011967706680297851
68,0.7926754,0.79370666,0.006786203384399414
69,0.7928435,0.79438007,0.007583713531494141
70,0.7936837,0.79438007,0.006981325149536133
71,0.7938517,0.79572237,0.0065823554992675785
72,0.7940197,0.7963957,0.006985282897949219
73,0.7941877,0.7963957,0.006987094879150391
74,0.7950281,0.79639804,0.006580543518066406
75,0.7955319,0.79639804,0.007190799713134766
76,0.7962039,0.7977448,0.009675931930541993
77,0.79738,0.79841596,0.006781864166259766
78,0.79788417,0.7990871,0.007485342025756836
79,0.7988926,0.7990871,0.007185649871826172
80,0.79990065,0.79975826,0.006781721115112304
