iter,tr-acc,te-acc,time
0,0.30176988,0.2692796,0.08876180648803711
250,0.012373306,0.013356416,0.015956401824951172
500,0.009512973,0.010463892,0.012965679168701172
750,0.008589513,0.009597177,0.01296544075012207
1000,0.008081581,0.009135073,0.014960765838623047
1250,0.0077575296,0.008790507,0.01495981216430664
1500,0.007523783,0.008523402,0.015957355499267578
1750,0.0073358887,0.008318508,0.012964487075805664
2000,0.007184221,0.008150887,0.012965917587280273
2250,0.00705085,0.008015588,0.013962745666503906
2500,0.006928411,0.007879958,0.011967897415161133
2750,0.0068181623,0.0077732997,0.011967897415161133
3000,0.0067188293,0.007661312,0.012964963912963867
3250,0.006628555,0.0075699016,0.013962984085083008
3500,0.0065444643,0.007483155,0.01396322250366211
3750,0.006466653,0.007401485,0.012976408004760742
4000,0.00639378,0.0073247245,0.01296544075012207
4250,0.0063249404,0.007255314,0.01296544075012207
4500,0.006258143,0.007185637,0.013962030410766602
4750,0.0061940188,0.007132655,0.01296377182006836
5000,0.006132615,0.0070750243,0.013962507247924805
5250,0.0060739033,0.00702346,0.01695537567138672
5500,0.006017642,0.006977769,0.013962507247924805
5750,0.0059633153,0.0069266455,0.012965679168701172
6000,0.0059108436,0.006885792,0.012964963912963867
6250,0.005855225,0.0068391263,0.012964725494384766
6500,0.005803611,0.006789132,0.012959003448486328
6750,0.005754715,0.0067450427,0.014956235885620117
7000,0.0057078693,0.0066978848,0.012569427490234375
7250,0.005663174,0.006648219,0.011967182159423828
7500,0.0056204908,0.006601872,0.013961553573608398
7750,0.0055793063,0.0065635517,0.017952919006347656
8000,0.0055392487,0.00652379,0.012965679168701172
8250,0.005499596,0.0064849174,0.011967897415161133
8500,0.005460408,0.0064480444,0.014960527420043945
8750,0.0054218974,0.006407573,0.013962745666503906
9000,0.005384614,0.006366621,0.012952804565429688
9250,0.0053489152,0.006330706,0.012964725494384766
9500,0.005314557,0.006300612,0.012966394424438477
9750,0.00528171,0.006269058,0.01296544075012207
10000,0.005249914,0.0062418445,0.01496124267578125
10250,0.0052158446,0.006223252,0.012963056564331055
10500,0.005183461,0.006189799,0.014959096908569336
10750,0.005152138,0.006162195,0.012965917587280273
11000,0.005120914,0.006138626,0.011962652206420898
11250,0.0050903005,0.0061141206,0.011967658996582031
11500,0.005062388,0.006087022,0.012964248657226562
11750,0.005035432,0.006060747,0.013963699340820312
12000,0.005009189,0.0060398662,0.013963460922241211
12250,0.004983544,0.0060137147,0.0139617919921875
12500,0.004958493,0.005992716,0.01296377182006836
12750,0.0049333367,0.0059710126,0.018949270248413086
13000,0.004908433,0.005949285,0.012965917587280273
13250,0.0048839203,0.005925969,0.011968851089477539
13500,0.0048599625,0.005906845,0.013963460922241211
13750,0.0048351493,0.0058879047,0.012965202331542969
14000,0.0048107887,0.0058709662,0.013963699340820312
