drop_column,iter,tr-loss,te-loss
0,0,0.16072474,0.13872966
1,0,0.11397919,0.088460825
2,0,0.101635166,0.07086689
3,0,0.061105333,0.05264414
4,0,0.029034011,0.041012403
5,0,0.042835712,0.03375095
0,1,0.07106078,0.04139608
1,1,0.063746914,0.043651935
2,1,0.05943013,0.04385493
3,1,0.038281217,0.03899479
4,1,0.02595801,0.035491303
5,1,0.037698537,0.032239363
0,2,0.05945235,0.041514035
1,2,0.054301783,0.043841526
2,2,0.051511113,0.04397758
3,2,0.03393594,0.038877446
4,2,0.027074158,0.03565268
5,2,0.035841484,0.031906314
0,3,0.05280928,0.041900795
1,3,0.048829492,0.04418934
2,3,0.04678715,0.04420752
3,3,0.03158445,0.039005432
4,3,0.028107228,0.03594987
5,3,0.03507045,0.031872682
0,4,0.048491538,0.042126473
1,4,0.045173656,0.044362813
2,4,0.04352452,0.044278968
3,4,0.030029753,0.03908762
4,4,0.028772391,0.036160152
5,4,0.034708075,0.031868685
0,5,0.045371782,0.042138897
1,5,0.04244229,0.04433333
2,5,0.04100066,0.04417541
3,5,0.02881309,0.039070744
4,5,0.02908928,0.03625379
5,5,0.034468323,0.031827636
0,6,0.04292675,0.041983455
1,6,0.04023133,0.044148333
2,6,0.038897466,0.04394189
3,6,0.027760118,0.038969763
4,6,0.0291451,0.03625445
5,6,0.034245744,0.031748135
0,7,0.04086126,0.04171825
1,7,0.038341064,0.043860026
2,7,0.037064947,0.04362358
3,7,0.026803965,0.038808886
4,7,0.02901841,0.03618926
5,7,0.03401562,0.03163949
0,8,0.039080247,0.04138554
1,8,0.036680453,0.043508936
2,8,0.0354304,0.04325637
3,8,0.025916973,0.03861232
4,8,0.028771006,0.03608291
5,8,0.033774767,0.031512644
0,9,0.03750788,0.041015673
1,9,0.035191186,0.04312472
2,9,0.033949435,0.042865656
3,9,0.025086856,0.03839675
4,9,0.028446332,0.035953104
5,9,0.033523202,0.031376515
0,10,0.03609454,0.040629152
1,10,0.03383738,0.04272691
2,10,0.032594074,0.04246741
3,10,0.024306977,0.03817285
4,10,0.028073162,0.035809826
5,10,0.033262827,0.03123677
0,11,0.034807976,0.040238235
1,11,0.032595214,0.042326562
2,11,0.031345095,0.042071167
3,11,0.02357282,0.03794712
4,11,0.02767029,0.03565979
5,11,0.03299585,0.031096771
0,12,0.033625968,0.039850485
1,12,0.031447634,0.04193059
2,12,0.030188119,0.041682743
3,12,0.022880608,0.03772331
4,12,0.027249936,0.03550706
5,12,0.03272412,0.030958137
0,13,0.032532394,0.03947006
1,13,0.030381909,0.04154338
2,13,0.029111985,0.041305948
3,13,0.022227012,0.037503455
4,13,0.026820172,0.035353824
5,13,0.03244922,0.030821994
0,14,0.03151517,0.039099243
1,14,0.029387997,0.041166015
2,14,0.028107567,0.04094166
3,14,0.021609006,0.037289027
4,14,0.026386447,0.035201367
5,14,0.032172497,0.030688677
0,15,0.030564815,0.038739115
1,15,0.02845782,0.040799383
2,15,0.027167328,0.040590297
3,15,0.021023791,0.037080128
4,15,0.025952462,0.0350504
5,15,0.031895064,0.030558178
0,16,0.029673725,0.038389772
1,16,0.027584713,0.04044381
2,16,0.026284838,0.04025151
3,16,0.020468872,0.03687682
4,16,0.025520865,0.03490129
5,16,0.031617858,0.030430453
0,17,0.028835643,0.03805145
1,17,0.026763033,0.040099256
2,17,0.025454644,0.039924435
3,17,0.019941974,0.036678594
4,17,0.025093516,0.03475433
5,17,0.031341724,0.030304449
